region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED317,772,750,1522,5423,5028,10451,1700,1578,3278,303,300,603,7426,6906,14332,3166,3126,6292,1125,1141,2266,330,342,672,4621,4609,9230,95,74,169,50,111,161,268,285,553,301,825,1126,21,15,36,735,1310,2045,164,348,512,87,232,319,56,135,191,281,686,967,0,4,4,588,1405,1993,70,94,164,161,445,606,9,13,22,240,552,792,8421,6513,14934,22803,22045,44848
CED318,1015,987,2002,5032,4803,9835,1762,1791,3553,653,644,1297,7447,7238,14685,3144,3189,6333,1239,1084,2323,424,391,815,4807,4664,9471,160,157,317,181,344,525,241,270,511,477,1028,1505,24,13,37,1083,1812,2895,507,870,1377,305,684,989,104,204,308,545,1159,1704,18,11,29,1479,2928,4407,116,161,277,261,542,803,4,12,16,381,715,1096,8602,7227,15829,24814,25571,50385
CED319,843,770,1613,3443,3385,6828,1869,1769,3638,372,412,784,5684,5566,11250,1948,1708,3656,1623,1302,2925,474,633,1107,4045,3643,7688,301,277,578,197,288,485,314,230,544,462,703,1165,21,11,32,1295,1509,2804,1378,1930,3308,438,626,1064,197,282,479,838,1041,1879,13,23,36,2864,3902,6766,196,206,402,262,470,732,6,11,17,464,687,1151,4406,4386,8792,19601,20463,40064
CED320,875,848,1723,5478,5159,10637,665,701,1366,799,745,1544,6942,6605,13547,3154,3306,6460,596,620,1216,644,588,1232,4394,4514,8908,191,271,462,80,245,325,371,292,663,339,701,1040,19,15,34,1000,1524,2524,487,869,1356,129,361,490,63,139,202,255,631,886,3,12,15,937,2012,2949,147,165,312,217,451,668,9,6,15,373,622,995,5599,4801,10400,20120,20926,41046
CED321,786,765,1551,5167,4765,9932,1590,1461,3051,580,488,1068,7337,6714,14051,3253,3193,6446,508,611,1119,308,420,728,4069,4224,8293,103,122,225,41,141,182,377,366,743,372,936,1308,11,18,29,904,1583,2487,126,231,357,70,200,270,68,158,226,299,633,932,6,10,16,569,1232,1801,70,63,133,153,273,426,7,6,13,230,342,572,5979,5346,11325,19874,20206,40080
CED322,961,875,1836,3987,3543,7530,821,769,1590,1089,1125,2214,5897,5437,11334,2679,2500,5179,525,539,1064,1051,1058,2109,4255,4097,8352,239,264,503,126,278,404,329,248,577,404,750,1154,16,12,28,1114,1552,2666,1329,2014,3343,487,718,1205,170,238,408,429,825,1254,17,20,37,2432,3815,6247,140,182,322,218,475,693,10,7,17,368,664,1032,5053,5130,10183,20080,21570,41650
CED323,736,766,1502,2852,2575,5427,833,821,1654,1010,1090,2100,4695,4486,9181,1911,1790,3701,375,433,808,1245,1111,2356,3531,3334,6865,309,355,664,270,451,721,319,248,567,430,733,1163,13,16,29,1341,1803,3144,1790,2431,4221,824,978,1802,173,254,427,468,782,1250,22,22,44,3277,4467,7744,246,284,530,279,467,746,8,6,14,533,757,1290,7807,7418,15225,21920,23031,44951
CED324,840,857,1697,3881,3685,7566,1153,1091,2244,523,618,1141,5557,5394,10951,2145,2039,4184,855,876,1731,890,927,1817,3890,3842,7732,588,472,1060,409,531,940,298,192,490,451,623,1074,25,33,58,1771,1851,3622,3868,4442,8310,1395,1234,2629,218,252,470,845,1132,1977,40,36,76,6366,7096,13462,361,376,737,262,430,692,14,13,27,637,819,1456,4831,4344,9175,23892,24203,48095
CED325,1041,965,2006,5172,4760,9932,1105,1026,2131,965,961,1926,7242,6747,13989,3200,2952,6152,699,892,1591,918,921,1839,4817,4765,9582,313,340,653,163,282,445,363,295,658,430,781,1211,25,11,36,1294,1709,3003,1269,1609,2878,378,552,930,157,240,397,556,861,1417,20,18,38,2380,3280,5660,153,167,320,226,447,673,16,12,28,395,626,1021,6470,4540,11010,23639,22632,46271
CED326,874,812,1686,4208,3847,8055,1224,1197,2421,809,828,1637,6241,5872,12113,2581,2499,5080,793,770,1563,765,794,1559,4139,4063,8202,231,248,479,86,224,310,361,296,657,359,735,1094,22,12,34,1059,1515,2574,677,1100,1777,179,400,579,136,193,329,427,742,1169,11,8,19,1430,2443,3873,118,162,280,226,445,671,9,14,23,353,621,974,4400,4456,8856,18496,19782,38278
CED327,1206,1139,2345,6293,5912,12205,945,969,1914,858,849,1707,8096,7730,15826,4170,3976,8146,716,673,1389,832,829,1661,5718,5478,11196,428,472,900,301,476,777,377,290,667,502,833,1335,25,35,60,1633,2106,3739,1323,1747,3070,429,520,949,142,220,362,507,768,1275,18,22,40,2419,3277,5696,203,224,427,280,479,759,14,14,28,497,717,1214,6306,5991,12297,25875,26438,52313
CED328,1072,914,1986,4436,4061,8497,1470,1397,2867,721,612,1333,6627,6070,12697,2021,1775,3796,912,1237,2149,1688,1447,3135,4621,4459,9080,293,284,577,127,191,318,301,205,506,320,533,853,11,11,22,1052,1224,2276,5663,6552,12215,1565,1671,3236,342,467,809,1066,1519,2585,28,20,48,8664,10229,18893,181,167,348,235,442,677,5,6,11,421,615,1036,3426,3384,6810,25883,26895,52778
CED329,697,630,1327,4543,4277,8820,735,725,1460,887,759,1646,6165,5761,11926,2889,2784,5673,680,701,1381,642,678,1320,4211,4163,8374,130,143,273,78,219,297,323,263,586,315,723,1038,6,11,17,852,1359,2211,180,396,576,112,326,438,52,112,164,246,674,920,9,7,16,599,1515,2114,86,107,193,166,407,573,5,6,11,257,520,777,5323,4764,10087,18104,18712,36816
CED330,882,751,1633,5213,4783,9996,1098,1077,2175,1116,1058,2174,7427,6918,14345,3235,3142,6377,554,621,1175,1105,1087,2192,4894,4850,9744,144,189,333,58,152,210,352,242,594,307,679,986,13,13,26,874,1275,2149,591,1254,1845,187,421,608,82,170,252,269,678,947,4,15,19,1133,2538,3671,90,116,206,162,409,571,7,9,16,259,534,793,4669,4215,8884,20138,21081,41219
CED394,16,25,41,122,126,248,10,17,27,25,29,54,157,172,329,51,48,99,4,11,15,10,16,26,65,75,140,7,21,28,16,16,32,20,13,33,23,26,49,0,0,0,66,76,142,43,72,115,37,34,71,11,11,22,19,42,61,0,6,6,110,165,275,24,20,44,15,28,43,0,0,0,39,48,87,1297,650,1947,1750,1211,2961
CED397,0,0,0,5,0,5,3,0,3,0,0,0,8,0,8,4,7,11,3,3,6,0,0,0,7,10,17,0,0,0,3,0,3,0,0,0,0,4,4,0,0,0,3,4,7,3,3,6,0,0,0,3,0,3,0,0,0,0,0,0,6,3,9,3,0,3,0,0,0,0,0,0,3,0,3,53,35,88,80,52,132
CED401,839,884,1723,2702,2609,5311,1274,1309,2583,1193,1124,2317,5169,5042,10211,1408,1262,2670,874,1034,1908,1260,1181,2441,3542,3477,7019,430,392,822,419,510,929,266,197,463,570,720,1290,13,12,25,1698,1831,3529,4212,4820,9032,1648,1528,3176,244,316,560,1008,1373,2381,35,33,68,7147,8070,15217,301,320,621,304,486,790,21,17,38,626,823,1449,5744,4824,10568,24765,24951,49716
CED402,1059,947,2006,5342,5102,10444,891,819,1710,1029,1011,2040,7262,6932,14194,3440,3369,6809,337,364,701,610,653,1263,4387,4386,8773,140,194,334,94,265,359,519,387,906,512,975,1487,18,22,40,1283,1843,3126,152,335,487,76,240,316,51,107,158,221,550,771,4,6,10,504,1238,1742,83,113,196,193,334,527,8,11,19,284,458,742,5262,4501,9763,20041,20305,40346
CED403,885,819,1704,3563,3355,6918,995,939,1934,1060,975,2035,5618,5269,10887,1916,1884,3800,875,832,1707,1161,1104,2265,3952,3820,7772,275,235,510,154,207,361,334,214,548,477,679,1156,18,6,24,1258,1341,2599,2015,2697,4712,875,1022,1897,162,276,438,738,1090,1828,20,22,42,3810,5107,8917,124,135,259,256,444,700,8,12,20,388,591,979,3063,3256,6319,18974,20203,39177
CED404,1010,979,1989,5229,4766,9995,1097,1099,2196,462,534,996,6788,6399,13187,3049,2935,5984,764,785,1549,273,321,594,4086,4041,8127,169,188,357,73,241,314,368,323,691,353,805,1158,16,23,39,979,1580,2559,75,198,273,37,151,188,50,91,141,246,492,738,8,6,14,416,938,1354,76,92,168,125,335,460,9,14,23,210,441,651,6065,5090,11155,19554,19468,39022
CED405,732,708,1440,2655,2382,5037,1456,1465,2921,729,678,1407,4840,4525,9365,1572,1441,3013,1065,1148,2213,673,741,1414,3310,3330,6640,301,272,573,225,319,544,382,247,629,494,731,1225,27,13,40,1429,1582,3011,1801,2358,4159,701,794,1495,185,255,440,614,883,1497,21,24,45,3322,4314,7636,186,177,363,291,457,748,10,16,26,487,650,1137,3939,4154,8093,18059,19263,37322
CED406,1080,974,2054,5009,4700,9709,983,956,1939,1046,1057,2103,7038,6713,13751,3019,2942,5961,629,643,1272,879,882,1761,4527,4467,8994,290,296,586,142,311,453,500,334,834,595,864,1459,23,22,45,1550,1827,3377,725,1107,1832,253,517,770,90,198,288,407,830,1237,10,11,21,1485,2663,4148,82,129,211,254,494,748,11,6,17,347,629,976,4068,4091,8159,20095,21364,41459
CED407,850,875,1725,3895,3583,7478,1019,991,2010,1083,1013,2096,5997,5587,11584,2299,2192,4491,836,744,1580,956,943,1899,4091,3879,7970,296,292,588,139,271,410,450,318,768,570,796,1366,16,11,27,1471,1688,3159,1052,1388,2440,363,418,781,102,205,307,417,678,1095,10,11,21,1944,2700,4644,113,166,279,237,386,623,6,9,15,356,561,917,3890,3646,7536,18599,18936,37535
CED408,887,854,1741,4494,4129,8623,564,592,1156,1819,1825,3644,6877,6546,13423,2449,2537,4986,503,452,955,1371,1443,2814,4323,4432,8755,214,211,425,78,204,282,436,283,719,498,854,1352,7,9,16,1233,1561,2794,914,1241,2155,231,455,686,87,155,242,452,911,1363,11,6,17,1695,2768,4463,88,106,194,206,401,607,5,8,13,299,515,814,3264,3231,6495,18578,19907,38485
CED409,1160,1049,2209,4006,3722,7728,2045,2095,4140,623,691,1314,6674,6508,13182,2679,2543,5222,1345,1443,2788,543,571,1114,4567,4557,9124,385,409,794,345,548,893,404,285,689,631,915,1546,35,24,59,1800,2181,3981,1388,1586,2974,522,609,1131,124,226,350,510,766,1276,25,24,49,2569,3211,5780,223,266,489,278,502,780,10,16,26,511,784,1295,5988,5716,11704,23269,24006,47275
CED410,842,842,1684,3510,3148,6658,1624,1488,3112,820,879,1699,5954,5515,11469,1974,1682,3656,1129,1192,2321,960,1033,1993,4063,3907,7970,294,316,610,229,342,571,309,214,523,445,686,1131,15,16,31,1292,1574,2866,2380,2741,5121,765,840,1605,209,231,440,718,1002,1720,14,31,45,4086,4845,8931,169,190,359,256,425,681,11,8,19,436,623,1059,3426,3777,7203,20099,21083,41182
CED411,1139,1147,2286,5151,4633,9784,1215,1240,2455,1484,1441,2925,7850,7314,15164,2807,2781,5588,905,1003,1908,1095,1167,2262,4807,4951,9758,265,346,611,252,472,724,450,427,877,552,969,1521,24,19,43,1543,2233,3776,528,855,1383,200,341,541,77,165,242,328,523,851,11,9,20,1144,1893,3037,128,195,323,226,478,704,12,19,31,366,692,1058,5641,5598,11239,22490,23828,46318
CED494,9,10,19,46,47,93,7,0,7,9,13,22,62,60,122,21,20,41,0,3,3,6,0,6,27,23,50,7,5,12,3,12,15,7,5,12,14,14,28,3,0,3,34,36,70,15,25,40,10,15,25,6,0,6,8,9,17,0,0,0,39,49,88,4,5,9,7,5,12,0,0,0,11,10,21,299,160,459,481,348,829
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,1266,1229,2495,5386,5113,10499,900,830,1730,1254,1296,2550,7540,7239,14779,2692,2481,5173,708,737,1445,1191,1310,2501,4591,4528,9119,379,407,786,113,266,379,636,358,994,436,793,1229,12,11,23,1576,1835,3411,579,958,1537,164,460,624,84,203,287,358,735,1093,5,7,12,1190,2363,3553,98,145,243,180,407,587,6,12,18,284,564,848,7131,5681,12812,23578,23439,47017
CED502,1155,1104,2259,4516,4282,8798,851,843,1694,1164,1168,2332,6531,6293,12824,2158,2156,4314,624,655,1279,1064,1099,2163,3846,3910,7756,394,375,769,106,263,369,619,307,926,359,630,989,10,9,19,1488,1584,3072,577,894,1471,159,327,486,96,155,251,304,646,950,8,16,24,1144,2038,3182,104,123,227,163,364,527,9,13,22,276,500,776,6384,5447,11831,20824,20876,41700
CED503,1162,1124,2286,4896,4551,9447,1233,1239,2472,840,849,1689,6969,6639,13608,2805,2657,5462,1036,1073,2109,915,979,1894,4756,4709,9465,440,398,838,166,286,452,545,283,828,439,620,1059,20,21,41,1610,1608,3218,1296,1742,3038,248,448,696,176,259,435,504,763,1267,12,7,19,2236,3219,5455,99,110,209,219,384,603,3,10,13,321,504,825,4321,4078,8399,21375,21881,43256
CED504,994,951,1945,3359,2999,6358,1036,1002,2038,1160,1177,2337,5555,5178,10733,1020,977,1997,907,1057,1964,2095,1961,4056,4022,3995,8017,255,233,488,210,265,475,217,133,350,335,524,859,11,10,21,1028,1165,2193,3592,3768,7360,1060,1092,2152,287,336,623,890,1302,2192,29,22,51,5858,6520,12378,116,141,257,235,403,638,3,3,6,354,547,901,5091,4622,9713,22902,22978,45880
CED505,1317,1254,2571,6097,5711,11808,1525,1514,3039,510,514,1024,8132,7739,15871,2511,2150,4661,861,969,1830,386,393,779,3758,3512,7270,211,190,401,73,160,233,473,372,845,610,1116,1726,25,16,41,1392,1854,3246,100,230,330,64,231,295,50,145,195,473,796,1269,8,8,16,695,1410,2105,128,91,219,190,290,480,10,9,19,328,390,718,16069,8850,24919,31691,25009,56700
CED506,1140,1079,2219,4549,4179,8728,1288,1306,2594,934,913,1847,6771,6398,13169,2586,2361,4947,712,787,1499,854,755,1609,4152,3903,8055,284,310,594,98,259,357,557,329,886,345,772,1117,18,16,34,1302,1686,2988,178,396,574,96,310,406,37,117,154,283,610,893,0,9,9,594,1442,2036,57,86,143,176,329,505,3,9,12,236,424,660,5745,4893,10638,19940,19825,39765
CED507,1185,1023,2208,4173,3869,8042,1193,1353,2546,537,529,1066,5903,5751,11654,1707,1586,3293,1433,1586,3019,704,683,1387,3844,3855,7699,321,313,634,185,287,472,488,236,724,471,680,1151,23,10,33,1488,1526,3014,1380,1873,3253,520,732,1252,179,279,458,712,1131,1843,13,18,31,2804,4033,6837,267,100,367,220,419,639,11,4,15,498,523,1021,4914,4571,9485,20636,21282,41918
CED508,1083,1017,2100,4666,4204,8870,970,953,1923,874,833,1707,6510,5990,12500,2419,2280,4699,1151,1162,2313,772,726,1498,4342,4168,8510,442,405,847,171,290,461,550,311,861,501,727,1228,21,14,35,1685,1747,3432,958,1340,2298,247,381,628,120,218,338,398,704,1102,15,7,22,1738,2650,4388,121,138,259,208,415,623,13,5,18,342,558,900,6079,5622,11701,21779,21752,43531
CED509,1099,1006,2105,4599,4415,9014,1197,1130,2327,1052,1013,2065,6848,6558,13406,2348,2146,4494,1227,1191,2418,1659,1690,3349,5234,5027,10261,464,340,804,114,229,343,630,252,882,347,589,936,17,9,26,1572,1419,2991,1897,2529,4426,287,550,837,208,326,534,567,948,1515,19,19,38,2978,4372,7350,111,103,214,198,343,541,7,3,10,316,449,765,4276,3748,8024,22323,22579,44902
CED510,1221,1223,2444,5651,5467,11118,955,928,1883,628,621,1249,7234,7016,14250,2914,2793,5707,462,497,959,530,522,1052,3906,3812,7718,220,217,437,96,214,310,492,373,865,473,1039,1512,17,13,30,1298,1856,3154,202,217,419,117,201,318,46,90,136,287,640,927,7,3,10,659,1151,1810,72,74,146,128,295,423,15,8,23,215,377,592,7656,5701,13357,22189,21136,43325
CED511,1285,1188,2473,5542,5049,10591,1111,1082,2193,1408,1359,2767,8061,7490,15551,2502,2378,4880,1104,1260,2364,1457,1415,2872,5063,5053,10116,352,363,715,100,230,330,564,296,860,408,709,1117,22,15,37,1446,1613,3059,667,1068,1735,155,372,527,114,202,316,387,756,1143,7,9,16,1330,2407,3737,118,137,255,161,410,571,10,9,19,289,556,845,7467,5846,13313,24941,24153,49094
CED512,855,804,1659,2744,2587,5331,1109,1044,2153,570,568,1138,4423,4199,8622,1585,1378,2963,1015,951,1966,560,735,1295,3160,3064,6224,470,422,892,448,516,964,357,201,558,606,755,1361,18,15,33,1899,1909,3808,1762,2244,4006,795,785,1580,195,318,513,886,1185,2071,13,17,30,3651,4549,8200,276,255,531,291,455,746,7,10,17,574,720,1294,6573,5333,11906,21135,20578,41713
CED513,977,956,1933,2910,2751,5661,1333,1357,2690,612,635,1247,4855,4743,9598,1576,1466,3042,1087,1055,2142,630,894,1524,3293,3415,6708,439,382,821,384,486,870,349,219,568,535,688,1223,25,13,38,1732,1788,3520,1601,1936,3537,571,643,1214,220,279,499,678,970,1648,20,31,51,3090,3859,6949,193,203,396,250,414,664,12,11,23,455,628,1083,6065,5567,11632,20467,20956,41423
CED514,910,930,1840,2930,2684,5614,1149,1127,2276,792,705,1497,4871,4516,9387,1591,1418,3009,1191,931,2122,800,813,1613,3582,3162,6744,662,554,1216,496,649,1145,424,244,668,643,894,1537,39,23,62,2264,2364,4628,3655,4041,7696,1530,1262,2792,263,343,606,918,1208,2126,32,23,55,6398,6877,13275,266,302,568,318,540,858,6,9,15,590,851,1441,7499,6463,13962,26114,25163,51277
CED515,979,891,1870,4850,4435,9285,1003,999,2002,585,603,1188,6438,6037,12475,2770,2619,5389,1116,1190,2306,1094,1166,2260,4980,4975,9955,441,332,773,160,272,432,507,222,729,355,629,984,14,10,24,1477,1465,2942,3288,3619,6907,623,700,1323,272,330,602,685,938,1623,27,30,57,4895,5617,10512,111,120,231,187,376,563,6,6,12,304,502,806,4353,3379,7732,23426,22866,46292
CED594,10,12,22,71,65,136,12,9,21,18,24,42,101,98,199,32,13,45,4,0,4,7,9,16,43,22,65,3,6,9,11,4,15,13,4,17,18,16,34,3,0,3,48,30,78,31,35,66,17,23,40,0,5,5,24,28,52,0,0,0,72,91,163,6,11,17,8,21,29,3,0,3,17,32,49,918,457,1375,1209,742,1951
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,7,3,0,3,0,0,0,0,0,0,3,0,3,60,6,66,73,6,79
CED601,444,424,868,3090,3066,6156,636,661,1297,517,482,999,4243,4209,8452,2039,1882,3921,544,536,1080,611,593,1204,3194,3011,6205,455,468,923,189,285,474,341,212,553,360,479,839,12,13,25,1357,1457,2814,945,1088,2033,413,470,883,68,140,208,316,641,957,6,11,17,1748,2350,4098,82,88,170,131,258,389,0,8,8,213,354,567,2877,3021,5898,14076,14826,28902
CED602,449,375,824,3153,3037,6190,749,794,1543,386,353,739,4288,4184,8472,2073,1935,4008,608,652,1260,315,306,621,2996,2893,5889,411,553,964,81,214,295,369,261,630,351,570,921,21,8,29,1233,1606,2839,126,285,411,95,198,293,33,74,107,240,415,655,0,7,7,494,979,1473,52,86,138,100,202,302,4,6,10,156,294,450,3352,3407,6759,12968,13738,26706
CED603,374,331,705,2543,2326,4869,767,837,1604,480,471,951,3790,3634,7424,1480,1355,2835,658,755,1413,724,724,1448,2862,2834,5696,412,404,816,182,249,431,305,187,492,368,522,890,18,21,39,1285,1383,2668,1664,1792,3456,662,711,1373,160,173,333,561,956,1517,12,9,21,3059,3641,6700,88,113,201,183,299,482,4,12,16,275,424,699,3160,3180,6340,14805,15427,30232
CED604,421,445,866,3064,2721,5785,1015,984,1999,568,566,1134,4647,4271,8918,1714,1522,3236,692,875,1567,545,534,1079,2951,2931,5882,390,338,728,81,142,223,338,181,519,339,495,834,12,6,18,1160,1162,2322,474,670,1144,188,252,440,60,112,172,332,749,1081,8,5,13,1062,1788,2850,54,97,151,126,286,412,7,7,14,187,390,577,3033,2638,5671,13461,13625,27086
CED605,495,452,947,3642,3381,7023,669,554,1223,262,264,526,4573,4199,8772,2084,2066,4150,563,595,1158,309,286,595,2956,2947,5903,348,383,731,53,150,203,335,184,519,275,453,728,8,8,16,1019,1178,2197,142,272,414,87,213,300,20,66,86,146,415,561,3,4,7,398,970,1368,80,105,185,104,264,368,3,4,7,187,373,560,3515,3273,6788,13143,13392,26535
CED694,6,3,9,10,20,30,0,0,0,0,3,3,10,23,33,13,8,21,0,0,0,5,3,8,18,11,29,3,9,12,3,4,7,0,0,0,5,4,9,0,0,0,11,17,28,7,13,20,6,3,9,0,3,3,4,6,10,0,0,0,17,25,42,0,3,3,4,0,4,0,0,0,4,3,7,111,50,161,177,132,309
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,8,0,8,11,6,17
CED701,919,904,1823,4841,4447,9288,793,765,1558,531,502,1033,6165,5714,11879,2077,1942,4019,479,503,982,713,785,1498,3269,3230,6499,71,40,111,65,82,147,200,156,356,312,423,735,9,4,13,657,705,1362,78,152,230,91,178,269,70,132,202,428,1022,1450,6,4,10,673,1488,2161,118,141,259,196,357,553,13,8,21,327,506,833,7909,5605,13514,19919,18152,38071
CED702,805,740,1545,2999,2988,5987,490,539,1029,531,583,1114,4020,4110,8130,2157,1924,4081,427,372,799,640,686,1326,3224,2982,6206,83,52,135,61,96,157,214,157,371,290,400,690,5,6,11,653,711,1364,402,593,995,342,532,874,187,325,512,702,1402,2104,10,12,22,1643,2864,4507,100,95,195,198,377,575,8,7,15,306,479,785,7908,5452,13360,18559,17338,35897
CED794,5,0,5,25,19,44,0,0,0,5,5,10,30,24,54,0,3,3,0,0,0,0,3,3,0,6,6,0,0,0,3,0,3,3,0,3,6,4,10,0,0,0,12,4,16,3,7,10,4,4,8,0,0,0,3,11,14,0,0,0,10,22,32,0,3,3,3,5,8,0,0,0,3,8,11,162,113,275,222,177,399
CED797,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,9,6,15
CED801,1253,1059,2312,3859,3717,7576,2153,1972,4125,879,871,1750,6891,6560,13451,3028,3068,6096,2086,1903,3989,1118,1138,2256,6232,6109,12341,352,375,727,170,262,432,773,455,1228,791,1064,1855,19,15,34,2105,2171,4276,1684,1956,3640,507,582,1089,243,381,624,1418,1913,3331,22,19,41,3874,4851,8725,134,102,236,341,587,928,13,12,25,488,701,1189,4294,3570,7864,25137,25021,50158
CED802,1536,1355,2891,4684,4372,9056,1671,1649,3320,944,974,1918,7299,6995,14294,3306,2996,6302,1247,1394,2641,917,920,1837,5470,5310,10780,437,452,889,255,375,630,665,434,1099,971,1278,2249,18,10,28,2346,2549,4895,5009,5303,10312,1848,1608,3456,436,562,998,2103,2643,4746,34,19,53,9430,10135,19565,362,184,546,414,632,1046,7,13,20,783,829,1612,5615,4985,10600,32479,32158,64637
CED894,0,3,3,7,4,11,3,5,8,0,0,0,10,9,19,6,7,13,0,3,3,4,3,7,10,13,23,4,0,4,7,0,7,0,4,4,3,3,6,0,0,0,14,7,21,13,13,26,9,3,12,0,3,3,8,6,14,0,0,0,30,25,55,7,3,10,0,3,3,0,0,0,7,6,13,45,17,62,116,80,196
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
