CED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED101,174,367,243,179,294,153,66,1480,14,3,10,3,12,10,5,55,3,11,9,11,16,10,4,71,353,678,539,438,734,428,215,3386,19,46,21,14,26,11,7,153,17,81,39,30,27,27,11,231,38,123,61,43,56,40,18,376,390,806,601,481,787,472,231,3766,470,458,277,200,262,177,85,1923,11,14,8,5,3,3,5,40,865,1274,887,679,1052,645,321,5729
CED102,165,299,237,161,242,155,66,1315,31,14,7,5,10,5,3,70,4,13,10,13,11,19,8,84,364,687,525,389,607,392,187,3141,11,20,30,21,23,16,11,127,19,58,33,34,35,19,4,195,31,79,61,52,56,32,9,320,396,763,581,435,660,429,193,3469,460,479,287,179,256,148,93,1900,8,13,12,4,3,3,0,40,863,1255,878,621,924,577,288,5401
CED103,129,285,179,159,189,113,82,1143,23,11,4,4,4,10,0,55,8,3,8,7,7,9,3,38,323,653,438,375,553,407,243,2998,11,14,11,8,17,10,5,78,20,32,26,11,15,11,4,117,31,47,32,23,32,16,10,192,349,699,471,400,585,426,257,3190,255,287,149,153,192,143,95,1281,0,4,3,4,7,0,3,18,608,995,624,556,786,569,358,4493
CED104,67,242,179,145,203,104,70,1009,9,18,9,8,12,0,3,60,0,4,6,9,9,3,3,42,175,527,477,388,583,344,204,2689,5,21,7,0,11,3,0,47,8,22,10,12,12,11,7,76,8,42,20,10,22,12,8,130,180,565,497,399,604,358,210,2822,144,163,108,84,125,91,54,766,3,6,0,0,3,0,0,19,328,733,607,489,730,448,263,3604
CED105,204,358,276,172,282,129,93,1519,30,10,6,9,16,6,3,79,17,21,14,15,20,5,12,106,458,711,563,391,632,364,235,3363,25,67,48,34,38,27,17,257,37,96,74,62,56,38,14,374,68,161,120,95,100,64,31,633,524,873,688,483,731,427,270,3993,1174,1102,623,414,558,259,184,4318,16,36,16,14,3,4,0,93,1716,2013,1327,916,1296,693,451,8400
CED106,96,222,201,155,218,159,76,1125,15,15,3,3,12,10,0,62,6,7,9,9,13,3,0,45,248,561,497,413,674,449,235,3071,4,13,9,11,12,13,8,68,23,19,10,14,25,7,4,107,27,30,23,22,36,24,14,174,274,591,515,434,716,473,251,3251,142,269,186,139,238,155,96,1218,3,3,0,0,0,0,0,11,413,861,698,574,954,626,347,4476
CED107,385,606,391,258,309,59,12,2009,51,34,28,6,15,0,0,133,11,27,14,6,7,0,0,66,645,1143,807,559,819,179,35,4180,44,102,61,53,54,15,4,332,89,140,57,35,36,9,0,368,133,243,122,91,88,20,6,705,776,1383,930,647,910,197,39,4884,1151,876,459,263,290,49,13,3106,28,20,13,13,5,0,0,71,1955,2279,1399,928,1200,244,53,8056
CED108,317,528,350,220,293,123,48,1876,49,33,14,13,20,6,8,145,11,21,23,13,25,9,4,106,664,1139,767,546,832,354,178,4473,61,126,76,63,77,23,9,440,110,180,96,78,68,9,11,552,173,306,170,138,147,31,17,988,839,1446,937,688,978,384,192,5465,1838,1619,907,597,579,168,89,5794,58,53,26,19,6,7,3,172,2730,3116,1872,1297,1568,557,289,11429
CED109,192,423,276,203,226,98,49,1470,23,7,6,0,10,10,0,64,11,10,9,3,5,3,0,44,371,747,565,419,624,276,142,3151,7,8,8,0,16,5,0,55,18,44,15,14,11,5,0,103,25,53,23,17,32,9,4,162,393,803,588,436,654,291,143,3304,248,255,159,104,139,42,50,985,0,3,0,3,4,4,0,15,639,1060,746,542,799,336,192,4315
CED110,413,809,500,353,477,71,25,2647,19,37,16,16,25,3,5,118,19,33,27,16,16,0,3,105,618,1283,915,697,989,157,50,4701,46,96,62,45,50,10,0,306,65,135,68,43,55,10,3,378,103,232,130,91,105,17,7,686,719,1513,1045,795,1092,174,53,5391,1132,1093,589,362,357,74,31,3634,20,27,20,15,12,0,0,98,1871,2632,1652,1161,1463,252,83,9123
CED111,214,455,294,222,285,117,57,1653,26,26,14,15,20,6,7,104,17,11,6,4,14,4,0,53,382,784,618,492,762,332,164,3528,23,47,38,36,37,12,11,201,52,78,36,25,32,15,8,237,77,124,78,59,69,25,13,442,456,907,695,545,830,355,180,3968,604,581,325,234,243,104,50,2141,10,15,8,4,3,0,0,42,1071,1506,1030,785,1075,457,233,6152
CED112,338,669,495,326,407,98,37,2368,49,41,31,14,21,7,7,165,15,25,14,21,12,3,0,82,580,1148,942,647,921,257,112,4611,43,85,53,27,52,6,0,265,99,150,64,34,40,9,0,390,140,240,113,62,88,11,7,662,721,1385,1057,701,1009,270,118,5271,1115,1016,540,318,349,83,33,3443,14,18,16,10,0,0,0,54,1853,2413,1606,1029,1361,356,151,8767
CED113,234,491,326,218,247,40,12,1557,36,27,9,10,18,3,0,105,12,15,9,7,8,0,0,54,448,898,665,495,669,155,53,3392,15,51,26,22,23,5,0,143,43,68,26,17,15,3,0,169,59,118,55,33,37,9,3,307,505,1017,723,530,704,166,55,3697,575,485,272,175,160,28,13,1713,17,15,7,3,4,0,0,46,1094,1521,999,704,876,195,72,5459
CED114,350,578,369,260,325,50,11,1950,34,33,28,13,6,5,0,124,17,12,20,9,14,3,0,79,560,999,782,542,739,131,41,3797,41,86,41,37,39,5,0,252,65,101,43,30,24,3,0,277,103,183,84,69,68,7,0,522,667,1189,865,615,802,144,41,4318,948,811,421,244,224,38,14,2700,28,28,26,17,4,0,3,108,1640,2031,1314,871,1033,182,56,7125
CED115,224,444,299,221,346,191,78,1800,36,18,7,8,8,8,8,91,13,33,11,13,21,10,8,108,530,884,635,488,747,438,222,3936,34,77,68,38,48,33,15,314,54,153,124,65,77,54,17,543,90,227,192,104,125,89,30,856,621,1112,822,591,869,528,254,4790,1267,1246,684,518,622,363,238,4948,29,29,23,14,8,10,0,110,1910,2383,1533,1124,1503,899,497,9844
CED116,290,595,457,293,355,74,23,2083,42,34,21,14,13,3,0,126,4,20,7,10,17,0,0,55,443,932,734,545,753,158,45,3618,19,58,48,35,42,15,0,224,65,92,33,31,22,3,0,247,83,148,78,69,67,17,7,469,527,1081,814,611,822,177,52,4085,808,777,463,270,255,44,20,2634,11,22,17,10,9,0,0,64,1346,1881,1287,891,1079,225,75,6789
CED117,134,273,147,114,156,60,47,932,23,12,6,4,3,4,3,60,3,4,5,4,6,8,0,33,303,623,439,335,496,239,151,2578,11,23,14,15,16,0,3,81,10,31,24,16,24,8,7,116,20,56,39,32,38,9,5,193,319,679,480,360,527,243,163,2772,233,212,144,90,137,76,50,943,4,5,0,4,0,0,5,19,560,894,620,464,671,322,212,3743
CED118,204,376,263,164,268,89,39,1406,37,33,11,12,14,12,3,114,16,22,14,7,17,3,3,84,447,913,677,478,819,372,174,3882,29,58,22,22,37,19,4,195,34,71,36,27,34,15,6,221,61,132,61,44,72,35,12,414,504,1039,742,526,891,407,190,4298,601,539,292,182,200,83,56,1943,16,10,11,6,4,3,3,53,1116,1587,1042,717,1096,495,247,6295
CED119,207,375,262,205,226,95,50,1411,21,7,6,6,12,6,7,72,10,5,7,4,5,0,0,36,365,684,589,470,679,327,190,3301,9,14,11,13,12,5,3,66,21,29,17,9,14,3,0,99,29,38,23,26,32,11,7,162,391,728,608,493,712,338,196,3465,315,281,154,98,130,57,39,1068,3,7,3,5,0,0,0,17,712,1015,771,598,837,390,227,4556
CED120,271,539,377,230,306,62,25,1801,38,26,21,21,15,3,3,136,13,20,16,5,11,0,0,68,507,987,789,545,767,213,93,3912,24,44,38,17,49,12,6,181,56,98,40,26,30,0,0,258,85,138,79,48,75,15,8,440,594,1131,874,587,842,227,97,4353,613,572,270,174,213,47,22,1911,24,9,6,7,0,0,0,54,1237,1712,1155,769,1062,273,117,6322
CED121,365,671,430,280,334,71,28,2172,64,47,21,25,19,6,0,179,9,20,19,18,16,0,3,81,582,1085,777,573,758,203,73,4058,56,106,70,42,57,6,6,351,102,156,71,39,42,3,5,418,163,267,141,86,97,14,7,766,744,1347,919,661,855,217,86,4829,1256,1069,517,333,284,52,22,3535,22,25,19,15,9,0,0,83,2022,2441,1457,1011,1150,263,101,8438
CED122,167,286,205,161,222,86,47,1163,32,22,3,13,13,5,5,92,8,18,3,4,3,3,3,41,386,755,545,414,578,325,190,3186,16,28,15,10,24,7,7,115,30,43,29,14,17,9,4,149,45,72,43,29,38,18,16,263,434,828,587,439,616,334,202,3442,339,315,190,141,171,118,78,1355,14,5,8,3,0,4,3,39,782,1152,790,584,790,456,277,4836
CED123,374,685,387,248,275,84,33,2095,45,33,20,18,10,0,4,131,23,40,23,10,16,7,3,121,744,1342,905,661,911,324,150,5038,36,84,50,26,44,11,5,263,91,130,47,34,34,5,7,346,127,219,97,58,81,16,8,605,873,1559,1008,719,989,336,160,5648,1290,1031,466,304,288,89,31,3512,26,15,11,10,4,3,0,65,2188,2609,1482,1037,1288,427,192,9223
CED124,250,559,424,281,360,45,12,1936,45,26,19,10,29,4,0,132,9,12,24,6,9,0,3,63,407,864,714,500,739,113,33,3364,33,88,75,41,56,11,3,294,44,139,62,30,32,3,0,319,75,227,138,70,89,14,3,618,482,1098,853,568,821,125,33,3980,967,902,481,319,317,52,19,3070,23,27,16,17,9,0,0,86,1468,2028,1352,903,1148,178,56,7129
CED125,326,564,379,248,309,91,50,1974,39,41,19,14,16,6,9,143,22,28,18,15,12,6,0,93,689,1153,826,593,820,303,159,4535,47,120,61,40,62,12,5,354,85,164,87,60,50,9,10,469,134,286,148,101,106,20,10,815,821,1444,974,697,923,322,172,5350,1379,1235,637,385,437,125,65,4264,35,48,18,15,10,4,0,131,2239,2719,1629,1095,1375,454,240,9747
CED126,161,384,242,160,247,99,62,1359,14,3,6,5,3,6,0,44,10,10,13,4,4,3,0,49,314,707,540,406,669,300,170,3109,3,21,10,9,14,3,4,61,8,18,14,5,7,3,0,55,16,35,19,11,20,9,4,123,327,744,561,422,689,304,176,3228,138,206,115,78,100,39,24,707,6,3,0,5,7,3,0,25,473,949,681,504,800,348,206,3958
CED127,246,480,348,225,311,88,36,1732,27,18,21,10,14,0,4,95,6,13,12,9,9,3,0,42,413,832,703,524,786,245,139,3646,21,33,14,28,27,6,3,137,36,62,39,16,20,6,3,178,51,94,55,45,50,11,10,315,463,924,761,566,839,256,146,3962,561,532,268,187,196,47,20,1822,6,9,5,4,11,0,0,37,1032,1459,1039,763,1043,309,167,5814
CED128,207,417,294,212,278,132,48,1583,27,21,10,3,17,6,3,93,15,18,15,16,19,12,8,96,476,886,667,501,701,342,175,3746,29,45,31,32,46,20,8,206,60,115,68,49,61,17,7,382,91,161,96,80,102,39,22,589,569,1048,763,579,804,378,195,4336,947,993,520,334,415,254,151,3606,27,22,11,8,0,4,0,77,1540,2061,1288,921,1226,639,350,8022
CED129,136,265,218,163,211,105,55,1151,18,12,5,7,11,3,3,61,0,7,8,5,3,0,0,33,280,661,572,449,643,347,186,3133,6,16,16,11,29,9,0,83,16,33,13,14,13,3,3,95,18,47,28,26,35,16,4,177,305,708,596,470,678,360,190,3309,173,191,142,91,129,80,45,860,5,3,7,7,9,0,0,29,482,907,750,571,817,441,234,4196
CED130,330,568,420,285,342,34,6,1983,44,31,19,20,29,5,3,155,28,24,13,14,10,5,0,92,572,1013,787,592,766,101,25,3858,58,119,72,60,60,3,3,375,95,138,63,20,36,10,0,365,152,253,139,81,95,14,3,738,724,1265,922,675,859,117,33,4596,1159,1076,543,316,271,58,12,3439,21,20,18,19,7,0,0,87,1907,2361,1484,1010,1144,173,41,8123
CED131,272,511,356,224,299,97,54,1820,20,32,25,17,27,7,7,135,11,14,9,3,3,5,0,50,441,958,730,527,809,307,161,3925,26,74,44,35,39,10,8,238,45,84,37,23,23,12,5,242,70,158,83,60,65,24,11,476,514,1122,815,588,873,327,172,4405,685,596,337,228,223,57,39,2172,16,14,6,10,3,3,0,55,1212,1736,1154,827,1106,391,209,6631
CED132,108,222,165,99,164,91,47,899,25,7,9,3,4,7,3,55,8,10,3,0,0,3,3,27,307,649,464,322,518,343,233,2838,3,21,11,11,21,13,4,78,7,14,15,11,8,5,3,70,12,31,24,20,30,22,7,151,321,677,492,344,547,366,244,2989,118,210,128,96,110,112,67,854,0,3,3,0,0,0,0,3,440,892,623,443,658,475,315,3847
CED133,267,637,471,321,435,86,24,2234,35,49,21,15,21,4,0,154,17,21,17,8,16,0,0,80,465,1099,871,634,950,175,56,4241,33,121,71,54,64,10,5,352,63,142,64,39,44,10,3,360,96,260,131,91,110,23,6,716,561,1360,1007,726,1053,198,56,4960,1155,1139,597,362,354,78,26,3716,10,26,14,10,9,0,0,77,1727,2529,1620,1100,1418,270,84,8749
CED134,426,650,360,238,265,40,10,1984,50,32,24,13,8,3,0,130,23,31,25,26,29,0,0,129,730,1224,753,533,681,106,27,4055,57,137,104,64,48,5,0,417,104,160,47,56,35,6,0,407,160,296,147,122,87,10,0,829,891,1521,899,658,768,116,26,4880,1559,1254,605,355,316,34,10,4131,54,63,36,15,12,0,0,187,2511,2837,1543,1034,1090,149,32,9195
CED135,181,300,215,152,241,121,75,1275,14,11,0,3,14,7,6,69,18,24,10,11,17,20,3,96,395,661,487,360,600,376,206,3094,19,47,20,26,27,18,6,163,32,89,51,24,27,18,12,243,49,134,69,49,52,33,15,405,448,786,561,413,651,407,228,3501,684,584,324,229,312,179,122,2433,5,19,3,4,7,4,3,43,1130,1394,894,644,967,593,356,5973
CED136,399,667,466,288,327,68,30,2259,47,31,20,20,30,6,0,153,15,25,7,20,13,3,4,85,681,1165,844,588,813,201,94,4377,47,107,91,51,66,11,0,387,107,156,56,39,39,11,3,402,155,261,147,89,107,20,0,784,832,1431,992,683,918,221,94,5164,1241,1060,552,317,316,51,25,3569,10,25,14,8,7,0,0,60,2081,2506,1554,1002,1242,274,122,8787
CED137,153,296,179,125,200,136,79,1169,22,12,8,11,6,7,4,68,9,5,19,8,15,4,3,60,353,670,487,376,575,433,241,3136,12,12,9,15,25,9,12,92,18,34,18,15,29,20,12,154,33,47,28,29,57,37,21,245,383,714,511,402,629,468,269,3379,276,299,168,132,205,131,96,1299,7,3,0,0,3,0,3,12,664,1015,684,530,842,598,365,4693
CED138,285,691,517,343,489,124,23,2484,32,27,14,13,20,9,3,116,10,19,12,13,19,9,0,79,431,1051,852,659,942,250,73,4247,16,54,44,27,47,10,3,202,55,97,59,35,37,12,7,292,71,152,99,64,80,25,10,501,502,1205,950,717,1024,277,79,4749,632,674,367,228,273,63,24,2252,12,16,12,7,4,5,0,58,1139,1892,1325,956,1304,344,100,7062
CED139,293,608,377,270,332,43,6,1938,35,32,17,15,14,3,0,111,13,22,9,12,16,0,6,73,502,1098,744,570,817,122,35,3890,37,94,80,49,45,5,4,316,72,115,54,29,19,0,0,291,114,209,132,79,66,7,4,608,615,1309,881,651,880,134,39,4502,1149,936,461,277,310,43,17,3190,34,31,20,12,8,0,0,101,1794,2276,1354,938,1197,175,52,7786
CED140,209,566,383,263,347,78,39,1886,24,20,7,6,24,3,4,98,8,12,5,8,13,3,0,51,374,944,687,550,817,264,127,3763,20,69,32,23,37,11,4,194,56,92,37,24,26,9,3,246,76,159,71,49,65,19,5,442,449,1099,760,598,877,281,132,4200,656,551,329,201,234,59,32,2058,9,5,6,3,3,0,0,23,1115,1655,1089,799,1112,337,169,6282
CED141,310,625,409,274,366,108,34,2122,40,33,18,17,13,6,0,132,10,18,7,5,11,0,3,45,485,1020,761,561,834,287,120,4071,27,81,42,31,34,7,0,215,55,114,52,28,43,3,3,303,76,187,94,58,77,14,3,517,559,1206,859,627,905,299,125,4582,794,744,395,269,267,51,34,2539,10,13,4,3,10,0,0,42,1364,1962,1257,896,1176,347,161,7169
CED142,112,169,118,72,86,57,39,663,15,12,5,5,15,5,4,62,9,3,0,0,9,3,0,23,288,417,306,188,289,186,131,1801,6,19,11,13,13,12,0,73,19,13,16,3,15,8,5,88,26,37,26,17,28,18,7,159,312,451,337,207,312,200,137,1963,240,260,125,103,171,110,74,1083,5,3,3,3,0,0,0,17,553,714,461,309,490,314,215,3065
CED143,115,262,201,124,200,105,65,1076,23,12,0,5,8,0,0,53,0,8,7,7,9,0,3,40,258,650,520,374,620,289,179,2892,3,19,5,5,12,9,10,64,13,39,15,8,14,5,0,97,16,54,22,14,26,12,12,162,279,699,541,390,644,304,188,3050,126,164,132,78,111,69,40,724,3,9,4,3,0,0,0,25,411,875,673,476,760,373,228,3794
CED144,197,367,267,195,270,152,79,1529,30,10,15,3,11,3,3,81,15,19,17,14,22,16,5,113,404,708,579,422,650,400,222,3381,8,30,28,24,28,23,11,151,33,96,48,30,61,29,18,319,40,125,80,49,88,52,25,470,442,837,658,473,737,451,251,3851,758,848,496,307,415,244,138,3211,16,23,15,3,8,6,3,74,1220,1714,1168,788,1163,697,395,7138
CED145,123,243,151,106,143,82,61,909,9,10,3,0,7,3,3,39,4,3,5,4,9,0,0,31,274,628,402,259,409,245,176,2398,6,19,11,9,10,13,3,69,15,35,15,3,5,6,3,90,20,57,25,17,14,20,6,161,291,688,422,277,425,263,185,2558,97,139,123,79,119,74,46,693,4,8,3,3,3,6,0,22,397,838,550,359,546,349,236,3271
CED146,220,468,355,242,302,127,54,1776,31,24,10,8,10,3,0,94,23,20,15,20,26,12,3,111,458,939,737,535,761,380,195,3998,36,81,42,30,48,18,13,264,51,125,84,50,62,21,10,400,81,207,129,74,109,39,21,663,538,1148,865,613,867,420,213,4656,1271,1267,680,430,561,204,120,4534,33,41,18,15,10,7,6,127,1843,2454,1561,1057,1432,627,342,9321
CED147,357,655,418,305,394,93,36,2254,35,33,19,22,25,3,0,139,13,16,19,10,14,4,0,72,579,1113,812,653,910,278,109,4446,18,88,44,29,54,15,3,251,69,114,64,25,34,5,5,312,84,208,106,57,85,18,8,562,666,1316,913,705,999,293,114,5006,905,787,421,286,332,77,29,2829,8,14,13,10,8,3,0,52,1579,2114,1347,999,1336,368,144,7893
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,167,364,287,241,301,135,78,1569,21,19,18,10,15,8,3,93,5,14,7,3,13,5,0,49,308,666,537,457,746,376,228,3318,10,20,16,9,18,7,6,92,21,46,35,17,27,11,8,162,36,65,49,27,41,20,11,247,344,735,589,485,784,397,243,3566,381,338,187,145,187,92,71,1402,3,3,5,0,0,3,0,25,729,1078,781,628,971,494,309,4991
