region_id,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_Tot_M_EO,C15_17F_O_E_Tot_M_O_EVWW,C15_17F_O_E_Tot_M_O_ENWNA,C15_17F_O_E_Tot_M_O_PENS,C15_17F_O_E_Tot_M_O_E_T,C15_17F_O_E_Tot_M_LPENS,C15_17F_O_E_Tot_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_Tot_M_EO,C15_17F_Tot_M_O_EVWW,C15_17F_Tot_M_O_ENWNA,C15_17F_Tot_M_O_PENS,C15_17F_Tot_M_O_E_T,C15_17F_Tot_M_LPENS,C15_17F_Tot_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_Tot_M_EO,C18_20F_O_E_Tot_M_O_EVWW,C18_20F_O_E_Tot_M_O_ENWNA,C18_20F_O_E_Tot_M_O_PENS,C18_20F_O_E_Tot_M_O_E_T,C18_20F_O_E_Tot_M_LPENS,C18_20F_O_E_Tot_M_Tot,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_Tot_M_EO,C18_20F_Tot_M_O_EVWW,C18_20F_Tot_M_O_ENWNA,C18_20F_Tot_M_O_PENS,C18_20F_Tot_M_O_E_T,C18_20F_Tot_M_LPENS,C18_20F_Tot_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_Tot_M_EO,C21_24F_O_E_Tot_M_O_EVWW,C21_24F_O_E_Tot_M_O_ENWNA,C21_24F_O_E_Tot_M_O_PENS,C21_24F_O_E_Tot_M_O_E_T,C21_24F_O_E_Tot_M_LPENS,C21_24F_O_E_Tot_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_Tot_M_EO,C21_24F_Tot_M_O_EVWW,C21_24F_Tot_M_O_ENWNA,C21_24F_Tot_M_O_PENS,C21_24F_Tot_M_O_E_T,C21_24F_Tot_M_LPENS,C21_24F_Tot_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_Tot_M_EO,TCF_O_E_Tot_M_O_EVWW,TCF_O_E_Tot_M_O_ENWNA,TCF_O_E_Tot_M_O_PENS,TCF_O_E_Tot_M_O_E_T,TCF_O_E_Tot_M_LPENS,TCF_O_E_Tot_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_Tot_M_EO,TCF_Tot_M_O_EVWW,TCF_Tot_M_O_ENWNA,TCF_Tot_M_O_PENS,TCF_Tot_M_O_E_T,TCF_Tot_M_LPENS,TCF_Tot_M_T
CED121,26,0,3265,49,87,3,0,90,0,139,0,3,15,0,18,0,18,4,0,0,3,3,0,7,53,90,18,3,111,0,164,0,0,0,0,0,0,0,3292,113,18,6,137,0,3429,694,5,0,0,5,0,699,10,34,0,0,34,0,44,0,0,9,0,9,0,9,0,0,0,0,0,0,0,10,34,9,0,43,0,53,0,0,0,0,0,0,0,704,39,9,0,48,0,752,187,3,0,0,3,0,190,0,21,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,21,0,0,0,0,0,0,0,187,24,0,0,24,0,211,23704,279,0,34,313,3,24020,404,663,41,3,707,0,1111,9,31,46,0,77,3,89,25,0,0,51,51,0,76,438,694,87,54,835,3,1276,9,0,0,0,0,9,18,24151,973,87,88,1148,15,25314
CED122,21,0,2953,52,53,0,3,56,0,108,3,3,4,0,7,0,10,3,0,0,0,0,0,3,58,56,4,3,63,0,121,0,0,0,0,0,0,0,2990,71,7,6,84,0,3074,605,6,0,0,6,0,611,11,23,0,0,23,0,34,0,3,6,0,9,0,9,3,0,0,0,0,0,3,14,26,6,0,32,0,46,0,0,0,0,0,0,0,619,32,6,0,38,0,657,176,3,0,0,3,0,179,0,10,0,0,10,0,10,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,14,0,0,14,0,14,0,0,0,0,0,0,0,176,17,0,0,17,0,193,23998,161,3,25,189,0,24187,355,498,9,9,516,0,871,9,34,34,0,68,0,77,34,0,0,37,37,0,71,398,532,43,46,621,0,1019,3,0,0,0,0,3,6,24399,693,46,71,810,3,25212
CED123,58,3,1356,108,771,38,0,809,3,920,0,71,56,0,127,3,130,0,0,0,0,0,3,3,108,842,94,0,936,9,1053,3,4,0,0,4,3,10,1406,900,94,4,998,15,2419,706,34,3,0,37,0,743,58,533,33,0,566,0,624,3,60,52,0,112,0,115,0,0,0,0,0,0,0,61,593,85,0,678,0,739,4,0,0,0,0,3,7,771,627,88,0,715,3,1489,326,8,0,0,8,0,334,33,278,19,0,297,0,330,0,26,27,0,53,0,53,0,0,0,0,0,0,0,33,304,46,0,350,0,383,0,6,0,0,6,0,6,359,318,46,0,364,0,723,13261,746,6,13,765,6,14032,1318,6642,228,3,6873,24,8215,22,561,286,0,847,3,872,20,4,0,17,21,3,44,1360,7207,514,20,7741,30,9131,24,30,0,0,30,20,74,14645,7983,520,33,8536,56,23237
CED124,65,0,2854,101,491,21,3,515,3,619,0,42,26,0,68,0,68,4,0,0,0,0,0,4,105,533,47,3,583,3,691,0,0,0,0,0,0,0,2894,594,47,7,648,3,3545,870,25,0,0,25,0,895,33,290,9,3,302,3,338,0,30,11,0,41,0,41,0,0,0,0,0,0,0,33,320,20,3,343,3,379,0,0,0,0,0,0,0,903,345,20,3,368,3,1274,338,11,0,0,11,3,352,11,122,5,0,127,0,138,0,15,9,0,24,0,24,0,0,0,0,0,0,0,11,137,14,0,151,0,162,0,0,0,0,0,0,0,349,148,14,0,162,3,514,22385,706,6,28,740,3,23128,848,3759,147,15,3921,12,4781,16,362,156,0,518,0,534,16,11,0,39,50,0,66,880,4132,303,54,4489,12,5381,14,27,0,0,27,19,60,23279,4865,309,82,5256,34,28569
CED125,21,0,2602,27,47,0,0,47,0,74,0,0,3,0,3,0,3,3,0,0,4,4,0,7,30,47,3,4,54,0,84,0,0,0,0,0,0,0,2611,68,3,4,75,0,2686,389,3,0,0,3,0,392,9,8,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,8,0,17,0,0,0,0,0,0,0,398,11,0,0,11,0,409,82,3,0,0,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,0,0,3,0,85,17343,158,0,34,192,0,17535,291,308,0,0,308,0,599,0,18,30,0,48,0,48,26,0,0,30,30,0,56,317,326,30,30,386,0,703,0,0,0,0,0,6,6,17660,484,30,64,578,6,18244
CED126,85,0,2882,100,602,40,0,642,0,742,0,47,44,0,91,0,91,0,0,0,3,3,0,3,100,649,84,3,736,0,836,0,0,0,0,0,0,0,2897,734,84,3,821,0,3718,991,20,0,0,20,0,1011,28,327,15,0,342,3,373,3,30,37,0,67,0,70,0,0,0,0,0,0,0,31,357,52,0,409,3,443,5,0,0,0,0,0,5,1027,377,52,0,429,3,1459,374,8,0,0,8,0,382,22,147,3,0,150,4,176,0,11,10,0,21,0,21,0,0,0,0,0,0,0,22,158,13,0,171,4,197,0,0,0,0,0,0,0,396,166,13,0,179,4,579,22363,809,7,23,839,9,23211,880,4311,219,3,4533,10,5423,17,349,283,0,632,0,649,40,3,0,29,32,0,72,937,4663,502,32,5197,10,6144,19,16,0,0,16,11,46,23319,5488,509,55,6052,30,29401
CED127,71,0,2959,104,341,16,0,357,0,461,0,26,20,0,46,0,46,5,0,0,0,0,0,5,109,367,36,0,403,0,512,0,0,0,0,0,0,0,2997,438,36,0,474,0,3471,1295,25,0,0,25,0,1320,53,192,13,0,205,0,258,0,14,11,0,25,0,25,4,0,0,0,0,0,4,57,206,24,0,230,0,287,0,0,0,0,0,3,3,1352,231,24,0,255,3,1610,543,16,0,0,16,0,559,26,110,3,0,113,0,139,0,7,16,0,23,0,23,0,0,0,0,0,0,0,26,117,19,0,136,0,162,0,0,0,0,0,0,0,569,133,19,0,152,0,721,23497,648,4,23,675,8,24180,1177,2699,112,0,2811,10,3998,5,155,125,0,280,0,285,27,0,0,12,12,0,39,1209,2854,237,12,3103,10,4322,3,7,0,0,7,12,22,24709,3509,241,35,3785,30,28524
CED128,54,0,3168,66,125,3,0,128,0,194,4,3,5,0,8,0,12,4,0,0,0,0,0,4,74,128,8,0,136,0,210,0,0,0,0,0,0,0,3188,182,8,0,190,0,3378,1191,16,0,3,19,0,1210,29,54,0,0,54,0,83,0,4,7,0,11,0,11,0,0,0,0,0,0,0,29,58,7,0,65,0,94,0,0,0,0,0,0,0,1220,74,7,3,84,0,1304,468,7,0,0,7,0,475,11,23,0,0,23,0,34,0,0,3,0,3,0,3,0,0,0,0,0,0,0,11,23,3,0,26,0,37,0,0,0,0,0,0,0,479,30,3,0,33,0,512,23896,495,3,26,524,8,24428,576,936,25,6,967,0,1543,14,44,44,0,88,0,102,33,0,3,9,12,0,45,623,980,72,15,1067,0,1690,10,7,0,0,7,0,17,24529,1482,75,41,1598,8,26135
CED129,96,3,1647,106,1607,133,3,1743,4,1853,0,268,431,0,699,5,704,5,0,0,0,0,0,5,111,1875,564,3,2442,9,2562,0,9,0,0,9,12,21,1659,1972,569,6,2547,24,4230,712,36,0,0,36,0,748,50,999,89,3,1091,3,1144,3,166,294,0,460,3,466,0,0,0,3,3,0,3,53,1165,383,6,1554,6,1613,0,6,0,0,6,3,9,765,1207,383,6,1596,9,2370,303,15,3,0,18,0,321,13,497,48,0,545,0,558,0,83,177,3,263,0,263,3,0,0,0,0,0,3,16,580,225,3,808,0,824,0,0,0,0,0,6,6,319,595,228,3,826,6,1151,10319,830,14,17,861,7,11187,931,12241,969,15,13225,35,14191,37,1885,2394,6,4285,20,4342,11,19,8,59,86,0,97,979,14145,3371,80,17596,55,18630,14,38,10,0,48,81,143,11312,15013,3395,97,18505,143,29960
CED130,92,0,2663,139,1302,41,3,1346,8,1493,0,94,60,0,154,3,157,3,0,0,0,0,0,3,142,1396,101,3,1500,11,1653,0,4,0,0,4,7,11,2713,1488,101,7,1596,18,4327,1343,46,4,3,53,0,1396,75,907,40,3,950,0,1025,0,69,41,0,110,0,110,4,0,0,0,0,0,4,79,976,81,3,1060,0,1139,0,0,0,0,0,7,7,1422,1022,85,6,1113,7,2542,575,23,0,0,23,0,598,33,495,15,0,510,0,543,0,47,24,0,71,0,71,0,0,0,3,3,0,3,33,542,39,3,584,0,617,0,4,0,0,4,0,4,608,569,39,3,611,0,1219,20871,886,8,16,910,0,21781,1272,9474,281,23,9778,32,11082,15,599,311,0,910,9,934,17,8,0,20,28,0,45,1304,10081,592,43,10716,41,12061,8,26,6,0,32,34,74,22183,10993,606,59,11658,75,33916
CED131,18,0,2913,29,50,3,0,53,0,82,0,3,3,0,6,0,6,6,0,0,3,3,0,9,35,53,6,3,62,0,97,0,0,0,0,0,0,0,2930,66,6,8,80,0,3010,462,0,0,0,0,0,462,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,462,10,0,0,10,0,472,90,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90,21666,198,0,34,232,0,21898,235,453,27,0,480,0,715,0,57,21,0,78,0,78,39,0,0,41,41,0,80,274,510,48,41,599,0,873,3,3,0,0,3,0,6,21943,711,48,75,834,0,22777
CED132,33,0,1957,39,98,5,3,106,0,145,3,10,13,0,23,0,26,3,0,0,0,0,0,3,45,108,18,3,129,0,174,0,0,0,0,0,5,5,1969,133,23,6,162,5,2136,801,12,0,0,12,0,813,11,50,3,0,53,0,64,0,3,9,0,12,0,12,0,0,0,0,0,0,0,11,53,12,0,65,0,76,0,0,0,0,0,0,0,812,65,12,0,77,0,889,346,4,0,0,4,0,350,3,21,3,0,24,0,27,0,5,5,0,10,0,10,4,3,0,0,3,0,7,7,29,8,0,37,0,44,0,0,0,0,0,0,0,353,33,8,0,41,0,394,16734,335,8,26,369,8,17111,429,1006,50,3,1059,4,1492,3,122,126,0,248,0,251,30,3,0,30,33,0,63,462,1131,176,33,1340,4,1806,8,4,0,0,4,5,17,17204,1470,184,59,1713,17,18934
CED133,37,0,1798,93,484,35,3,522,5,620,3,58,80,0,138,0,141,4,0,0,0,0,0,4,100,542,115,3,660,5,765,0,3,0,0,3,0,3,1861,582,115,3,700,5,2566,1072,29,0,0,29,0,1101,55,312,21,0,333,0,388,0,25,44,0,69,0,69,0,0,0,0,0,0,0,55,337,65,0,402,0,457,0,0,0,0,0,3,3,1127,366,65,0,431,3,1561,598,14,0,0,14,0,612,34,175,12,3,190,0,224,0,26,27,0,53,0,53,0,0,0,0,0,0,0,34,201,39,3,243,0,277,0,5,0,0,5,3,8,632,220,39,3,262,3,897,16914,578,3,18,599,10,17523,1369,4919,238,10,5167,14,6550,13,490,364,0,854,0,867,17,5,3,12,20,3,40,1399,5414,605,22,6041,17,7457,15,25,4,0,29,6,50,18328,6017,612,40,6669,33,25030
CED134,32,0,2681,45,35,0,0,35,0,80,0,4,3,0,7,0,7,3,0,0,3,3,0,6,48,39,3,3,45,0,93,0,0,0,0,0,0,0,2697,68,3,6,77,0,2774,489,6,0,3,9,0,498,12,0,0,0,0,0,12,0,0,0,0,0,4,4,0,0,0,0,0,0,0,12,0,0,0,0,4,16,0,0,0,0,0,0,0,501,6,0,3,9,4,514,153,0,0,0,0,0,153,0,3,0,0,3,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,153,6,0,0,6,0,159,18420,209,3,30,242,0,18662,331,330,13,0,343,0,674,15,25,13,0,38,4,57,30,0,0,41,41,0,71,376,355,26,41,422,4,802,5,0,0,0,0,0,5,18801,564,29,71,664,4,19469
CED135,9,0,2616,19,58,0,0,58,0,77,0,3,4,0,7,0,7,3,0,0,3,3,0,6,22,61,4,3,68,0,90,0,0,0,0,0,0,0,2629,70,4,3,77,0,2706,380,3,0,0,3,0,383,3,5,0,0,5,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,5,0,0,5,0,11,0,0,0,0,0,0,0,386,8,0,0,8,0,394,61,0,0,0,0,0,61,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,61,4,0,0,4,0,65,23233,134,0,29,163,3,23399,249,507,7,0,514,0,763,10,30,26,0,56,0,66,47,3,0,65,68,0,115,306,540,33,65,638,0,944,6,0,3,0,3,0,9,23545,674,36,94,804,3,24352
CED136,56,0,985,69,1441,136,0,1577,7,1653,3,214,261,0,475,3,481,0,3,0,0,3,0,3,72,1658,397,0,2055,10,2137,0,10,0,0,10,3,13,1001,1718,400,3,2121,13,3135,462,20,0,3,23,0,485,48,927,93,0,1020,6,1074,3,152,202,0,354,0,357,0,3,0,3,6,0,6,51,1082,295,3,1380,6,1437,0,0,4,0,4,3,7,513,1102,299,6,1407,9,1929,241,5,0,3,8,0,249,15,463,51,0,514,0,529,0,87,144,0,231,0,231,0,0,0,0,0,0,0,15,550,195,0,745,0,760,0,0,3,0,3,0,3,256,555,198,3,756,0,1012,7642,670,16,13,699,12,8353,955,15582,1028,12,16622,40,17617,26,1914,1672,0,3586,6,3618,13,37,0,61,98,0,111,994,17533,2700,73,20306,46,21346,7,78,10,3,91,70,168,8643,18281,2726,89,21096,128,29867
CED137,23,0,2519,41,42,3,0,45,0,86,3,5,3,0,8,0,11,3,0,0,0,0,0,3,47,47,6,0,53,0,100,0,0,0,0,0,0,0,2543,66,6,4,76,0,2619,701,6,0,0,6,0,707,11,7,0,0,7,0,18,0,3,3,0,6,0,6,0,0,0,0,0,0,0,11,10,3,0,13,0,24,0,0,0,0,0,0,0,712,16,3,0,19,0,731,230,3,0,0,3,0,233,10,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,3,0,13,0,0,0,0,0,0,0,240,6,0,0,6,0,246,19086,219,0,17,236,3,19325,308,337,26,3,366,0,674,15,33,11,0,44,0,59,25,4,0,21,25,0,50,348,374,37,24,435,0,783,3,0,0,0,0,0,3,19437,593,37,41,671,3,20111
CED138,76,0,1085,94,1320,152,0,1472,4,1570,4,227,394,3,624,4,632,3,4,0,0,4,0,7,101,1551,546,3,2100,8,2209,0,11,0,0,11,4,15,1110,1635,546,6,2187,12,3309,644,27,3,3,33,0,677,49,846,79,0,925,0,974,7,166,304,0,470,0,477,0,3,0,0,3,0,3,56,1015,383,0,1398,0,1454,0,8,3,0,11,4,15,700,1050,389,3,1442,4,2146,315,16,0,0,16,0,331,29,434,39,0,473,0,502,3,100,170,0,270,0,273,0,0,0,0,0,0,0,32,534,209,0,743,0,775,0,6,0,0,6,4,10,347,556,209,0,765,4,1116,9342,789,8,15,812,0,10154,1244,12085,997,0,13082,28,14354,43,2075,2371,6,4452,16,4511,6,25,4,48,77,0,83,1293,14185,3372,54,17611,44,18948,16,72,7,3,82,50,148,10651,15046,3387,72,18505,94,29250
CED139,29,0,2562,73,69,0,0,69,0,142,4,3,9,0,12,0,16,0,0,0,4,4,0,4,77,72,9,4,85,0,162,0,0,0,0,0,0,0,2610,101,9,4,114,0,2724,640,6,0,0,6,0,646,10,23,0,0,23,0,33,0,3,0,0,3,0,3,0,0,0,0,0,0,0,10,26,0,0,26,0,36,0,0,0,0,0,0,0,650,32,0,0,32,0,682,157,0,0,0,0,0,157,3,7,0,0,7,0,10,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,7,3,0,10,0,13,0,0,0,0,0,3,3,160,7,3,0,10,3,173,18225,349,0,18,367,3,18595,585,638,14,3,655,0,1240,11,27,47,0,74,0,85,17,0,0,24,24,0,41,613,665,61,27,753,0,1366,6,3,0,0,3,6,15,18844,1017,61,45,1123,9,19976
CED140,41,0,3019,43,170,7,0,177,0,220,3,23,13,0,36,0,39,3,0,0,0,0,0,3,49,193,20,0,213,0,262,0,0,0,0,0,0,0,3027,230,20,4,254,0,3281,551,13,0,0,13,0,564,11,36,0,0,36,0,47,0,3,3,0,6,0,6,0,0,0,0,0,0,0,11,39,3,0,42,0,53,0,0,0,0,0,0,0,562,52,3,0,55,0,617,144,0,0,0,0,0,144,0,11,0,0,11,0,11,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,0,0,0,0,0,144,15,0,0,15,0,159,23498,366,0,32,398,6,23902,372,1564,73,6,1643,9,2024,10,132,114,0,246,0,256,27,10,0,46,56,0,83,409,1706,187,52,1945,9,2363,3,6,0,0,6,6,15,23910,2078,187,84,2349,21,26280
CED141,54,0,2716,54,89,4,0,93,0,147,3,8,5,0,13,0,16,4,0,0,3,3,0,7,61,97,9,3,109,0,170,3,0,0,0,0,0,3,2726,141,9,13,163,0,2889,1017,16,0,3,19,0,1036,29,40,4,0,44,0,73,0,3,0,0,3,0,3,0,0,0,0,0,0,0,29,43,4,0,47,0,76,0,3,0,0,3,0,3,1046,62,4,3,69,0,1115,370,12,0,0,12,0,382,3,19,3,0,22,0,25,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,19,6,0,25,0,28,0,0,0,0,0,0,0,373,31,6,0,37,0,410,19867,402,7,42,451,14,20332,553,939,27,4,970,0,1523,17,71,45,0,116,0,133,29,3,0,12,15,0,44,599,1013,72,16,1101,0,1700,9,3,0,0,3,0,12,20475,1418,79,58,1555,14,22044
CED142,30,0,2696,43,85,3,0,88,0,131,0,4,4,0,8,0,8,0,0,0,3,3,0,3,43,89,7,3,99,0,142,0,0,0,0,0,0,0,2709,116,7,6,129,0,2838,949,9,0,3,12,0,961,15,31,3,0,34,0,49,0,0,3,0,3,0,3,0,0,0,0,0,0,0,15,31,6,0,37,0,52,0,0,0,0,0,0,0,964,40,6,3,49,0,1013,372,7,0,0,7,0,379,11,16,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,3,3,0,3,11,16,0,3,19,0,30,0,0,0,0,0,0,0,383,23,0,3,26,0,409,19356,283,4,31,318,4,19678,358,536,16,0,552,0,910,8,27,28,0,55,0,63,18,0,0,39,39,0,57,384,563,44,39,646,0,1030,0,0,0,0,0,0,0,19740,846,48,70,964,4,20708
CED143,17,0,565,56,163,14,0,177,0,233,0,31,34,0,65,0,65,0,0,0,4,4,0,4,56,194,48,4,246,0,302,0,0,0,0,0,0,0,604,211,48,4,263,0,867,324,8,0,0,8,0,332,23,122,12,0,134,0,157,3,26,26,0,52,0,55,0,0,0,0,0,0,0,26,148,38,0,186,0,212,0,0,0,0,0,0,0,350,156,38,0,194,0,544,168,3,0,0,3,0,171,8,63,4,0,67,0,75,0,17,28,0,45,0,45,0,0,0,0,0,0,0,8,80,32,0,112,0,120,0,0,0,0,0,0,0,176,83,32,0,115,0,291,8010,380,3,15,398,6,8414,833,2429,137,0,2566,0,3399,15,265,242,3,510,6,531,14,6,0,13,19,0,33,862,2700,379,16,3095,6,3963,11,9,0,0,9,3,23,8883,3089,382,31,3502,15,12400
CED144,66,0,2703,66,254,19,0,273,5,344,3,21,20,0,41,0,44,0,3,0,0,3,0,3,69,278,39,0,317,5,391,0,0,0,0,0,3,3,2706,336,39,8,383,8,3097,740,4,0,0,4,3,747,18,125,6,0,131,0,149,0,17,13,0,30,0,30,5,0,0,0,0,0,5,23,142,19,0,161,0,184,0,3,0,0,3,3,6,763,149,19,0,168,6,937,251,5,0,0,5,0,256,8,63,3,0,66,0,74,0,8,9,0,17,0,17,0,0,0,0,0,0,0,8,71,12,0,83,0,91,0,3,0,0,3,0,3,259,79,12,0,91,0,350,18873,502,0,33,535,9,19417,547,1931,120,3,2054,12,2613,16,159,115,0,274,0,290,21,16,0,12,28,0,49,584,2106,235,15,2356,12,2952,3,12,0,0,12,15,30,19460,2620,235,48,2903,36,22399
CED145,40,3,2329,105,302,11,3,316,0,421,0,21,23,0,44,0,44,0,0,0,0,0,0,0,105,323,34,3,360,0,465,0,0,0,0,0,0,0,2391,363,34,3,400,3,2794,1145,15,0,0,15,0,1160,39,153,9,0,162,3,204,3,15,12,0,27,0,30,3,0,0,0,0,0,3,45,168,21,0,189,3,237,5,0,0,0,0,0,5,1195,183,21,0,204,3,1402,519,20,0,0,20,0,539,23,87,10,0,97,0,120,0,15,5,3,23,0,23,0,0,0,0,0,0,0,23,102,15,3,120,0,143,0,0,0,0,0,3,3,542,122,15,3,140,3,685,21418,656,3,10,669,11,22098,1429,2814,108,7,2929,10,4368,11,200,114,3,317,0,328,20,6,0,3,9,0,29,1460,3020,222,13,3255,10,4725,17,4,0,0,4,9,30,22895,3680,225,23,3928,30,26853
CED146,73,0,731,100,2198,192,3,2393,3,2496,4,353,450,0,803,4,811,0,0,0,0,0,0,0,104,2551,642,3,3196,7,3307,5,7,3,0,10,13,28,767,2628,648,3,3279,20,4066,399,28,0,0,28,0,427,39,1331,131,0,1462,0,1501,5,207,322,0,529,0,534,0,0,0,6,6,0,6,44,1538,453,6,1997,0,2041,0,9,0,0,9,7,16,443,1575,453,6,2034,7,2484,218,14,0,0,14,0,232,19,621,65,0,686,0,705,0,142,157,0,299,0,299,4,0,0,0,0,0,4,23,763,222,0,985,0,1008,0,7,0,0,7,3,10,241,784,222,0,1006,3,1250,5238,875,32,7,914,7,6159,886,19273,1422,16,20711,46,21643,45,2918,2491,8,5417,18,5480,16,26,6,112,144,0,160,947,22217,3919,136,26272,64,27283,20,96,9,3,108,89,217,6205,23188,3960,146,27294,160,33659
CED147,49,0,1552,86,242,6,0,248,0,334,0,10,9,0,19,0,19,0,0,0,0,0,0,0,86,252,15,0,267,0,353,0,0,0,0,0,0,0,1589,301,15,0,316,0,1905,911,32,0,3,35,0,946,43,176,6,0,182,0,225,0,8,5,0,13,0,13,0,0,0,0,0,0,0,43,184,11,0,195,0,238,0,0,0,0,0,0,0,954,216,11,3,230,0,1184,507,13,0,3,16,0,523,26,91,5,0,96,0,122,0,7,4,0,11,0,11,0,0,0,3,3,0,3,26,98,9,3,110,0,136,0,0,0,0,0,0,0,533,111,9,6,126,0,659,15379,663,3,32,698,9,16086,1164,2440,78,6,2524,9,3697,6,101,46,0,147,0,153,29,6,0,10,16,0,45,1199,2547,124,16,2687,9,3895,0,9,0,0,9,8,17,16578,3219,127,48,3394,26,19998
CED148,100,0,1789,129,1810,112,3,1925,8,2062,3,170,141,0,311,0,314,3,3,0,0,3,0,6,135,1983,253,3,2239,8,2382,4,8,4,0,12,11,27,1828,2091,257,3,2351,19,4198,645,32,0,3,35,0,680,54,1014,62,3,1079,7,1140,0,101,110,0,211,0,211,0,3,0,3,6,0,6,54,1118,172,6,1296,7,1357,3,0,0,0,0,3,6,702,1150,172,9,1331,10,2043,256,10,0,0,10,0,266,23,464,28,0,492,0,515,0,53,71,3,127,0,127,0,0,0,0,0,0,0,23,517,99,3,619,0,642,0,0,0,0,0,3,3,279,527,99,3,629,3,911,12423,966,12,26,1004,10,13437,1178,14461,682,21,15164,33,16375,22,1272,949,3,2224,0,2246,15,27,0,78,105,0,120,1215,15760,1631,102,17493,33,18741,13,57,7,0,64,69,146,13651,16783,1650,128,18561,112,32324
