CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED101,6916,14083,3539,474,25007,4604,621,30239,579,611,309,43,1545,1123,63,2725,1298,2781,888,85,5054,1181,192,6422,1879,3392,1202,125,6594,2300,255,9150,442,416,237,27,1128,1240,112,2484,1151,1302,710,98,3265,1444,266,4971,1433,1348,618,140,3529,1452,456,5438,17,5,4,0,24,24,4,49,3042,3074,1569,265,7948,4160,838,12944,0,3,0,0,7,0,0,7,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,54,73,39,3,169,83,16,277,54,78,43,3,178,85,16,284,31,50,17,3,101,41,10,144,11924,20672,6367,871,39829,11195,1744,52765
CED102,6248,12554,3330,459,22595,4041,924,27561,688,1167,404,48,2307,876,165,3355,499,1195,356,38,2085,484,114,2687,1188,2361,764,87,4396,1365,276,6034,635,528,310,64,1537,1045,259,2834,1395,1355,646,125,3520,1664,433,5611,4765,3574,1201,353,9898,3428,1801,15131,38,34,23,0,100,55,13,167,6829,5501,2181,546,15055,6190,2505,23749,12,3,0,0,13,52,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,78,40,13,210,113,50,373,86,88,40,14,225,159,55,438,52,37,22,4,109,100,20,235,14398,20542,6332,1106,42379,11863,3775,58015
CED103,6813,15113,2985,422,25337,4090,997,30427,714,1076,356,40,2180,920,122,3222,1283,2307,589,72,4251,1408,292,5953,1997,3380,948,116,6432,2331,415,9182,358,253,140,32,779,946,62,1795,2039,1862,703,202,4813,2886,733,8425,2732,2014,579,192,5518,2027,791,8327,8,5,0,0,18,13,0,30,5130,4136,1425,424,11124,5868,1588,18579,3,0,0,0,3,4,0,8,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,28,30,10,0,71,40,14,129,33,35,13,0,77,47,14,146,49,74,23,0,147,92,17,260,14028,22740,5396,966,43126,12429,3033,58587
CED104,9867,21080,3306,330,34582,4225,511,39324,368,173,75,8,629,631,16,1272,575,1117,401,24,2122,551,52,2721,942,1294,482,33,2744,1182,66,3989,236,121,64,3,426,629,14,1075,197,133,43,9,386,410,31,825,111,59,17,4,192,136,8,331,3,5,8,0,15,30,4,47,552,324,131,16,1022,1208,55,2285,12,9,3,0,23,12,3,33,15,7,3,3,31,34,7,74,0,8,0,0,9,5,0,7,17,22,7,0,48,13,3,64,41,38,17,3,103,70,10,175,41,51,20,0,108,61,4,178,11443,22788,3946,380,38561,6744,651,45955
CED105,5297,14316,4297,566,24483,4296,912,29689,236,449,215,33,930,582,48,1559,908,2581,934,80,4501,817,202,5516,1138,3029,1146,118,5430,1399,249,7081,645,1000,440,67,2152,1480,318,3948,943,1837,760,116,3661,1260,353,5272,824,1429,448,92,2789,612,304,3710,22,50,13,3,90,33,9,133,2433,4313,1660,283,8687,3391,987,13063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,9,3,0,15,45,105,47,12,204,65,22,296,43,111,52,12,217,63,24,313,41,58,23,3,133,79,8,225,8961,21828,7185,979,38948,9233,2178,50367
CED106,7936,18869,2728,285,29820,3676,448,33949,134,123,44,3,309,193,31,536,578,570,185,15,1346,618,32,2005,718,692,225,20,1650,816,67,2537,548,286,162,27,1021,981,75,2071,1105,1103,515,100,2818,1533,236,4590,2802,3343,1070,169,7378,2521,402,10298,0,0,0,0,3,0,0,3,4454,4727,1748,291,11220,5032,708,16968,0,0,0,0,4,0,0,4,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,10,4,0,24,17,9,44,8,13,5,0,32,17,9,49,22,22,11,3,53,56,7,122,13143,24323,4723,598,42782,9593,1244,53619
CED107,14727,15869,6073,431,37100,12310,1377,50786,512,235,365,33,1145,1944,173,3264,78,50,96,5,229,361,46,628,595,280,461,37,1377,2300,225,3898,206,94,121,22,443,1067,80,1589,6,4,3,0,13,70,3,88,8,0,0,0,14,12,0,21,0,4,0,0,4,3,0,8,221,97,128,22,468,1155,84,1703,13,9,3,0,27,102,0,134,9,11,4,0,25,44,0,73,12,12,4,0,24,18,0,37,190,162,66,10,432,185,19,636,223,191,79,10,507,347,24,881,106,85,26,3,221,332,20,566,15869,16521,6771,510,39672,16436,1730,57831
CED108,7733,19043,7374,651,34803,5791,945,41540,303,728,308,32,1376,580,60,2024,591,2044,854,78,3563,662,95,4320,894,2769,1163,113,4946,1243,157,6341,73,59,60,11,205,449,6,662,87,116,61,13,282,213,27,525,209,362,158,30,755,244,43,1042,4,4,0,0,16,9,0,27,372,539,286,52,1253,919,80,2248,10,3,0,0,11,14,0,27,25,3,18,0,52,73,3,128,0,6,9,0,20,21,0,41,15,40,17,0,75,14,3,96,55,61,43,3,158,123,8,286,21,61,21,0,104,48,18,164,9079,22473,8889,817,41260,8125,1201,50580
CED109,6713,13684,2669,279,23343,3767,423,27535,639,486,246,23,1393,1186,61,2644,1639,1646,687,59,4024,1638,126,5787,2271,2130,936,82,5418,2820,187,8428,641,324,251,22,1241,1329,140,2711,1713,1026,821,98,3665,2583,394,6634,1454,756,462,74,2751,1988,232,4968,0,3,0,0,4,8,3,13,3806,2115,1535,198,7658,5900,768,14327,11,3,3,0,17,25,4,41,8,0,4,0,14,18,0,35,0,0,0,0,0,0,0,0,37,51,21,0,109,69,14,190,62,53,23,0,140,104,20,269,43,34,13,3,86,53,5,147,12902,18016,5177,562,36653,12636,1413,50704
CED110,15252,12735,6120,390,34496,10445,1443,46378,1127,363,617,42,2143,2429,185,4765,592,279,344,22,1231,832,116,2181,1719,638,958,61,3378,3265,296,6947,703,270,556,40,1578,2506,231,4316,171,60,115,11,357,492,59,912,400,70,90,6,571,643,87,1308,0,0,0,0,6,11,4,18,1277,407,769,60,2512,3653,378,6547,90,10,6,0,115,242,10,366,170,19,29,5,227,404,19,650,5,7,3,0,12,19,3,40,30,16,17,3,67,48,14,125,300,52,60,12,419,713,43,1174,154,105,45,3,301,223,30,555,18694,13941,7959,518,41111,18302,2190,61604
CED111,9576,15044,4154,377,29150,6094,1114,36357,592,339,395,37,1370,1408,166,2946,1005,909,761,59,2739,1747,312,4794,1595,1248,1158,100,4107,3156,484,7739,924,579,549,71,2130,2385,445,4956,586,286,244,44,1161,1400,391,2953,1260,420,260,71,2009,1398,477,3891,3,3,7,0,10,11,5,27,2774,1291,1060,185,5310,5195,1320,11821,34,16,17,8,66,123,7,194,0,0,6,0,9,15,0,19,0,0,0,0,0,4,0,4,38,51,39,3,124,73,23,222,71,66,61,8,202,213,28,443,105,49,25,3,182,205,15,408,14122,17694,6456,675,38950,14860,2956,56765
CED112,11491,15904,6424,461,34274,8053,1247,43577,1112,324,517,45,1998,2495,123,4606,504,418,518,23,1465,1004,120,2591,1615,738,1033,69,3460,3492,243,7194,430,139,264,26,857,1349,73,2275,110,35,71,3,226,257,30,512,189,64,86,7,347,298,23,672,4,4,3,0,14,18,0,31,733,244,426,33,1442,1926,127,3496,40,9,19,0,69,154,13,238,15,12,19,0,40,41,3,85,0,6,3,0,7,9,0,10,26,44,29,0,104,27,3,136,79,74,70,0,219,231,21,472,44,37,20,6,102,146,3,246,13960,16991,7972,573,39504,13845,1642,54982
CED113,14744,14640,4355,316,34052,9864,920,44839,652,338,273,20,1280,1702,99,3086,490,273,230,30,1023,883,93,1996,1133,610,509,52,2307,2583,189,5079,319,174,175,16,679,1303,111,2091,113,82,30,4,231,330,35,593,188,125,61,12,382,534,46,964,5,7,0,0,12,8,0,16,622,388,263,32,1303,2168,195,3664,37,14,7,0,52,116,0,169,71,27,16,0,105,161,13,279,23,16,9,0,45,48,3,95,33,22,14,3,69,46,3,121,166,71,37,5,278,362,20,660,162,113,38,7,320,215,19,556,16826,15817,5205,411,38259,15196,1339,54799
CED114,16161,15692,5544,444,37841,12645,1370,51859,681,323,367,38,1412,2552,209,4168,81,35,44,3,162,274,37,466,760,358,410,44,1567,2823,246,4633,422,251,208,31,915,1522,135,2571,13,9,0,0,25,58,3,84,7,0,0,0,4,21,0,31,3,0,0,0,6,6,0,11,442,262,214,34,948,1613,141,2698,56,9,10,0,81,151,9,240,88,12,8,0,112,149,20,283,12,10,0,0,25,22,0,41,58,50,13,7,128,66,17,208,205,91,35,9,336,389,47,773,99,85,29,3,213,139,12,367,17668,16488,6228,527,40912,17603,1816,60325
CED115,5601,14881,5253,588,26320,3671,581,30568,173,334,292,23,828,420,18,1267,695,1822,1178,107,3793,890,132,4819,868,2157,1463,128,4620,1316,155,6088,351,589,456,56,1459,948,93,2500,978,1595,999,136,3708,1628,280,5613,594,1003,489,67,2143,643,132,2920,13,29,19,3,67,37,9,112,1935,3224,1962,256,7377,3256,513,11149,0,3,0,0,3,3,0,3,0,0,0,0,3,0,0,3,0,0,3,0,6,4,0,11,38,95,42,11,181,54,15,257,43,101,47,11,194,65,15,273,30,46,31,5,106,56,9,172,8473,20397,8755,993,38617,8360,1274,48247
CED116,17617,12960,5521,368,36459,11466,1184,49112,645,173,258,29,1111,1589,81,2781,471,167,206,6,845,752,61,1660,1119,338,468,35,1958,2336,143,4440,375,132,215,21,735,1264,69,2074,37,11,6,0,51,68,3,123,71,0,3,0,80,135,3,215,0,3,3,0,3,19,0,19,482,143,221,26,876,1482,75,2431,80,21,24,3,124,202,8,336,255,33,24,9,322,488,12,823,5,6,0,0,9,15,0,23,20,20,14,0,52,22,8,80,359,76,68,11,508,723,32,1263,111,79,34,0,228,166,26,423,19689,13599,6302,437,40037,16171,1462,57667
CED117,3059,5316,1450,197,10023,2181,945,13148,2809,3628,911,159,7507,2370,920,10801,2534,3213,801,115,6663,1793,861,9317,5347,6843,1709,276,14174,4161,1781,20121,1779,960,562,127,3421,3075,828,7323,2377,1287,622,157,4443,3518,886,8847,1766,799,310,89,2962,2262,513,5728,77,36,28,7,150,122,35,311,5999,3074,1525,378,10972,8975,2266,22216,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,255,155,89,27,518,285,186,986,257,154,89,27,523,289,182,996,89,57,16,3,169,179,37,387,14753,15450,4785,882,35869,15784,5213,56867
CED118,7397,19183,4365,474,31407,4882,899,37187,966,2474,542,42,4019,838,87,4941,1047,3219,794,77,5135,897,139,6175,2007,5692,1338,121,9156,1730,226,11113,153,289,80,5,529,362,22,909,79,156,46,8,287,73,14,370,556,747,170,35,1512,432,88,2027,8,7,3,0,14,20,0,35,790,1195,301,53,2341,885,119,3345,0,0,3,0,4,0,0,3,8,3,8,0,22,49,0,70,7,5,0,0,16,11,0,24,15,26,7,6,55,16,9,75,28,38,20,6,94,76,8,176,34,77,18,0,131,59,10,198,10256,26173,6046,651,43128,7628,1263,52020
CED119,8941,19339,3325,316,31924,3919,407,36256,284,352,175,11,826,469,18,1315,893,1381,671,41,2986,920,101,4015,1179,1738,845,53,3811,1395,127,5327,273,187,135,7,597,718,35,1347,783,479,370,40,1673,1155,139,2973,298,172,98,11,578,334,43,953,11,8,3,0,16,6,0,21,1358,842,603,67,2865,2217,211,5293,5,0,0,0,9,7,0,18,6,12,7,0,26,53,3,88,0,0,0,0,0,3,0,3,20,24,15,0,64,28,6,97,37,36,28,0,102,94,14,208,20,26,12,3,67,38,5,112,11538,21982,4806,441,38763,7665,759,47189
CED120,13046,18920,5162,379,37509,7909,822,46231,482,152,170,21,823,1189,38,2048,129,127,123,6,382,266,23,670,613,274,292,26,1206,1456,59,2718,84,26,54,5,176,444,24,635,18,3,4,0,26,82,3,106,4,0,0,0,4,0,0,4,4,0,3,0,8,6,0,16,108,27,60,4,210,527,21,758,21,13,5,0,43,89,0,133,17,9,5,0,28,49,4,81,11,22,4,4,44,23,0,64,29,28,8,0,56,40,0,96,81,65,19,10,169,203,3,381,59,61,18,0,137,81,9,225,13909,19346,5551,426,39229,10176,912,50315
CED121,14346,16873,6597,466,38280,9885,1247,49414,775,251,381,22,1423,1834,85,3343,203,66,119,9,398,528,46,965,972,316,499,28,1822,2358,128,4313,160,61,98,8,324,661,33,1012,47,7,5,0,58,41,4,101,12,3,4,0,21,11,0,29,7,0,0,3,12,6,0,23,219,71,111,10,414,722,34,1162,15,5,8,0,35,72,4,112,51,13,13,0,75,162,13,250,10,7,5,0,24,11,0,31,14,5,11,0,31,29,5,58,97,26,32,0,158,276,15,457,61,63,27,3,156,104,12,273,15702,17340,7276,513,40829,13349,1435,55614
CED122,3865,8447,1873,349,14528,2572,744,17847,767,1416,405,59,2647,975,208,3828,1043,2512,713,92,4356,933,281,5575,1809,3928,1117,153,7003,1907,488,9402,1348,1339,680,127,3491,2431,813,6735,3895,2658,1404,295,8251,5175,2244,15673,3553,2095,758,345,6749,3621,1999,12369,16,14,4,0,31,28,10,70,8815,6100,2849,762,18520,11255,5064,34843,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,5,100,81,51,14,241,127,86,456,100,89,50,14,245,131,86,467,31,66,15,3,115,112,23,252,14620,18626,5893,1278,40418,15979,6407,62803
CED123,10435,18603,6218,511,35768,6412,1012,43198,481,382,412,31,1303,1274,82,2654,894,1145,1021,81,3141,1404,214,4761,1374,1526,1436,113,4442,2680,296,7418,221,179,226,24,649,874,66,1587,281,159,204,21,662,718,94,1473,127,72,135,7,343,297,43,683,7,10,7,0,20,16,4,40,636,420,562,61,1677,1900,204,3782,3,0,0,0,7,0,0,6,24,5,3,5,37,77,0,110,4,8,3,0,13,11,3,31,11,8,10,0,35,14,3,54,37,23,20,5,88,103,11,200,43,65,29,6,143,73,8,226,12527,20638,8265,694,42124,11170,1532,54820
CED124,17278,12680,5360,369,35689,10508,1145,47346,1057,188,358,26,1635,2123,108,3871,177,59,104,5,348,247,24,622,1238,253,468,32,1988,2368,130,4489,290,103,241,24,655,1304,81,2038,76,21,48,3,147,233,19,399,125,25,52,4,205,187,18,412,3,3,0,0,6,8,0,14,498,153,335,31,1012,1739,119,2867,160,23,24,8,218,372,16,606,167,19,22,4,214,288,18,520,16,4,8,0,30,30,6,63,36,26,32,0,93,69,15,181,377,75,80,12,548,761,53,1365,102,62,35,0,213,133,17,360,19503,13220,6278,448,39444,15508,1461,56417
CED125,9489,19377,6501,510,35876,5467,808,42155,579,614,601,56,1851,1140,80,3071,484,809,779,47,2121,1098,87,3303,1059,1428,1378,110,3968,2234,164,6373,218,116,116,14,460,496,33,990,84,63,38,6,192,135,11,342,272,127,85,9,483,279,50,810,3,3,0,0,7,10,0,20,575,311,239,26,1147,924,95,2166,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,9,0,0,5,0,9,4,0,9,11,22,10,0,47,12,7,67,19,24,22,0,60,25,7,95,36,34,9,0,73,43,3,119,11177,21163,8140,641,41126,8699,1081,50901
CED126,8300,16789,2891,244,28229,3840,585,32655,277,170,72,8,519,664,23,1214,862,936,340,26,2163,1085,56,3308,1141,1108,414,31,2687,1752,81,4522,777,516,225,23,1548,1391,94,3029,1736,1164,589,58,3549,2179,284,6015,1206,801,353,49,2409,1426,180,4018,9,9,3,4,21,30,3,53,3733,2488,1172,136,7526,5028,566,13114,0,0,0,0,5,4,0,5,26,11,12,0,47,96,4,147,3,3,3,0,3,0,0,9,49,32,18,3,102,35,5,143,75,47,39,3,159,132,15,304,65,54,19,0,140,85,11,239,13320,20477,4532,416,38736,10839,1257,50828
CED127,12412,16766,5077,356,34607,9011,1149,44766,447,282,339,24,1084,1307,74,2459,223,147,181,7,559,531,47,1131,664,428,514,28,1639,1835,120,3596,106,50,85,16,252,530,47,828,27,10,17,3,59,132,19,211,0,0,3,0,4,7,0,7,3,0,5,0,3,11,0,19,134,56,100,16,318,688,70,1069,6,5,0,0,12,53,3,67,9,0,0,0,14,36,0,43,4,13,0,0,16,6,0,27,18,14,3,0,33,29,3,66,39,32,10,0,72,127,11,209,70,59,21,3,150,117,15,279,13317,17339,5724,402,36788,11771,1361,49918
CED128,7406,17502,5233,570,30707,4779,684,36175,308,481,284,33,1108,666,58,1833,675,2033,734,74,3521,664,95,4277,983,2514,1020,109,4626,1333,149,6106,264,378,251,29,918,743,69,1730,529,814,453,75,1872,772,156,2793,500,825,467,63,1855,666,99,2619,9,17,9,0,37,20,3,53,1298,2028,1180,167,4681,2200,325,7202,8,0,3,3,15,56,3,76,0,0,0,0,0,0,0,3,0,16,5,0,23,8,4,34,30,90,34,3,159,39,7,207,42,104,41,8,200,102,10,311,39,70,27,5,143,68,12,216,9763,22219,7506,861,40349,8479,1179,50016
CED129,8603,22009,3177,283,34074,3558,484,38110,272,192,117,10,584,417,21,1021,1050,2304,622,48,4022,878,167,5062,1313,2492,739,57,4609,1295,182,6080,292,131,72,15,507,691,18,1218,258,275,128,16,682,252,34,970,409,305,132,22,868,387,74,1333,8,3,3,0,15,4,0,18,967,718,334,54,2074,1334,130,3537,4,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,4,4,6,0,0,13,3,0,15,23,31,15,0,72,38,0,111,10907,25266,4259,392,40833,6228,804,47861
CED130,15537,14061,6059,506,36161,12677,1497,50339,412,208,249,31,898,1582,144,2626,79,32,53,6,169,306,37,516,487,241,299,35,1070,1892,184,3144,206,111,145,13,478,1242,82,1801,9,7,3,0,23,42,3,68,7,0,0,0,8,12,0,21,7,0,0,0,6,0,0,9,229,118,151,17,514,1294,83,1891,56,11,10,0,68,117,3,194,41,8,5,0,56,101,0,153,12,11,3,0,32,17,0,51,86,55,117,11,272,93,18,385,192,86,136,11,426,334,23,780,141,121,49,9,315,173,13,501,16590,14622,6691,580,38484,16363,1806,56655
CED131,10657,14262,5117,569,30604,8762,2433,41795,730,376,466,61,1631,1942,307,3877,1333,748,599,72,2755,1750,583,5089,2061,1122,1065,136,4382,3687,887,8963,538,183,265,43,1031,2183,299,3511,386,110,181,31,710,1179,219,2104,599,140,93,10,838,853,146,1830,28,12,3,3,50,91,14,154,1550,448,541,83,2622,4304,680,7604,0,3,0,0,4,4,4,12,11,0,0,0,12,7,0,26,3,0,0,0,5,4,0,6,31,20,23,3,74,72,13,166,49,25,28,3,99,88,22,209,48,32,17,3,100,137,28,268,14356,15892,6766,788,37813,16982,4052,58846
CED132,4793,10785,1676,198,17450,2692,413,20558,567,794,183,22,1567,502,105,2175,1420,1563,420,45,3449,1172,260,4882,1987,2358,604,64,5018,1669,364,7053,1382,964,376,89,2811,1923,422,5155,3067,1916,731,150,5869,3677,859,10407,5967,3072,1085,306,10428,7163,1291,18882,22,10,4,0,35,27,3,66,10440,5964,2196,545,19143,12793,2578,34516,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,36,20,10,5,74,47,10,134,36,20,10,5,71,55,10,146,37,49,8,5,98,92,8,200,17295,19182,4496,817,41790,17303,3379,62469
CED133,16411,13999,6600,517,37530,12027,1724,51279,534,178,322,20,1057,1692,92,2842,231,136,209,20,584,594,79,1259,758,312,531,39,1643,2283,169,4098,322,139,311,31,800,1504,125,2433,32,22,24,3,79,105,16,198,0,0,0,0,3,8,0,10,0,0,0,0,0,10,0,11,357,161,332,34,878,1628,145,2654,161,24,33,3,225,458,10,701,126,24,23,8,175,271,25,475,32,22,23,0,74,93,3,174,94,63,27,7,190,77,10,281,424,135,99,13,670,904,53,1626,115,69,38,3,220,151,7,381,18060,14670,7605,606,40941,16999,2097,60035
CED134,14292,13927,6701,620,35527,12792,1264,49585,320,194,180,25,720,965,75,1752,36,14,17,3,65,77,10,157,361,207,191,26,787,1036,86,1910,438,146,202,29,823,1941,102,2863,12,5,6,0,25,37,0,62,8,0,4,0,8,53,0,64,4,0,0,0,4,3,0,11,456,150,215,36,858,2039,104,3002,61,13,5,0,81,160,7,247,12,10,6,0,17,39,0,60,35,21,7,0,66,106,9,180,55,55,23,0,133,70,9,212,157,98,43,0,299,379,24,706,140,108,51,10,298,192,11,500,15406,14489,7195,686,37775,16438,1484,55700
CED135,5172,11899,3108,462,20637,3778,851,25260,400,599,217,32,1248,958,106,2304,1409,3381,936,113,5834,1362,355,7552,1806,3975,1157,146,7084,2321,454,9854,1124,1794,439,111,3464,1610,291,5364,2159,3345,964,198,6660,2512,629,9806,2621,3435,699,208,6960,2185,807,9956,17,9,4,0,30,19,0,53,5915,8586,2100,517,17117,6323,1731,25174,3,0,0,0,4,0,0,3,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,40,120,23,6,185,53,31,270,46,122,20,6,195,57,31,283,54,95,18,5,170,134,25,332,12994,24675,6403,1125,45207,12615,3089,60905
