CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED318,0,0,0,0,0,6,3,3,0,0,0,0,0,7,3,20,0,0,0,0,0,3,14,7,0,5,3,8,0,0,0,40,0,3,28,72,63,78,139,70,14,12,23,25,14,4,9,568,6,3,5,14,65,61,268,177,42,57,51,80,40,5,17,878,0,15,58,9,3,10,0,3,0,0,0,0,0,0,8,110,6,8,11,7,3,7,16,3,4,3,6,0,0,4,4,88,0,9,15,21,45,41,85,32,8,18,9,8,4,0,17,304,70,134,145,84,181,142,233,94,13,17,27,35,10,0,34,1227,3,13,19,10,0,0,0,0,5,0,0,0,0,0,7,63,7,3,10,18,44,44,42,57,18,3,24,16,3,6,6,286,5,7,24,36,43,62,502,466,114,84,110,156,84,17,63,1764,3,10,17,29,18,52,79,71,31,18,21,45,10,3,6,427,0,0,0,4,20,12,18,16
CED319,0,0,0,0,11,12,7,14,0,0,0,0,0,0,4,56,0,0,0,0,3,9,55,14,10,0,3,0,0,0,4,110,0,4,13,26,36,39,122,64,11,11,15,10,0,5,4,371,8,20,9,33,114,122,478,249,57,67,45,86,24,9,17,1344,0,9,25,13,9,26,6,4,0,0,0,0,0,0,3,93,0,5,14,5,0,4,10,10,6,3,0,0,0,0,5,59,0,5,18,44,206,181,213,96,5,12,15,18,19,9,10,864,57,60,43,40,60,48,121,49,8,8,6,5,5,0,7,526,8,18,20,10,11,0,0,5,0,0,3,0,0,0,3,90,3,0,14,28,96,103,85,62,13,12,17,26,6,0,16,485,12,11,52,45,131,149,1570,1079,261,272,402,501,139,28,79,4728,4,11,6,11,24,47,92,47,8,3,5,9,7,4,4,278,0,0,0,0,7,10,102,171
CED320,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,23,0,4,34,38,46,39,76,46,6,5,14,6,3,4,7,327,11,11,8,11,15,28,104,64,12,22,24,50,3,0,5,359,0,3,45,8,3,14,4,0,0,0,0,0,0,0,0,85,7,6,3,9,5,6,5,6,0,0,0,0,0,0,5,46,0,6,11,31,94,97,102,57,17,13,17,15,5,0,22,476,96,162,91,70,128,41,81,24,7,0,3,16,6,0,19,735,0,14,13,4,0,0,0,9,0,0,0,7,0,0,3,55,0,0,9,11,17,12,18,29,5,3,10,7,0,0,0,133,8,0,31,21,23,28,258,177,42,34,31,32,26,8,25,742,5,13,18,14,18,16,48,23,4,9,8,13,8,0,5,200,0,0,0,0,9,3,15,16
CED321,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,0,7,19,22,16,24,33,23,3,4,10,0,0,0,3,172,0,0,0,0,11,17,47,24,13,5,6,15,3,0,4,152,3,4,27,7,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,20,0,0,6,10,18,20,23,27,4,9,5,5,10,0,5,143,33,89,64,32,49,17,42,16,0,3,4,3,7,3,15,378,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,5,6,0,6,6,0,5,3,10,0,0,0,46,3,8,12,0,0,4,116,94,29,25,40,44,18,3,16,405,4,4,0,3,5,8,17,4,0,0,3,22,7,0,7,92,0,0,0,0,0,0,0,6
CED322,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,8,0,0,0,0,5,0,0,0,20,0,3,31,63,61,67,211,120,28,28,34,30,25,12,16,728,4,15,16,11,141,183,545,400,119,129,142,168,64,4,46,1993,6,21,71,20,17,23,11,0,0,0,0,0,0,0,7,174,11,28,35,18,10,13,9,12,3,0,0,0,5,0,10,143,4,8,11,20,51,32,52,14,4,3,5,0,0,0,0,211,78,153,81,54,92,61,98,60,13,6,15,8,4,3,23,752,0,26,34,5,6,9,4,6,0,0,0,0,0,0,5,102,0,4,9,40,78,103,66,41,7,13,23,8,16,18,9,435,10,6,21,24,39,74,305,133,34,37,40,56,18,8,28,828,0,13,14,18,29,42,61,37,4,4,9,14,13,3,8,276,0,0,6,10,21,12,43,38
CED323,0,0,0,0,3,3,11,10,0,0,0,0,0,0,0,24,0,0,0,4,4,3,26,20,4,7,12,18,6,0,0,109,0,6,25,61,83,100,156,116,32,35,48,67,41,16,10,785,7,12,16,21,160,256,911,680,222,250,273,265,118,7,53,3248,7,55,156,36,21,80,18,9,4,0,0,0,0,0,10,391,15,49,53,28,31,22,30,17,3,0,13,3,0,3,4,264,4,5,19,27,73,54,73,29,3,0,7,7,12,3,12,324,75,219,111,71,127,83,111,62,14,23,18,30,17,3,24,989,8,61,107,21,5,4,5,12,0,3,0,0,0,0,6,252,3,4,17,47,79,109,102,116,28,34,37,55,41,16,16,697,9,3,32,40,51,87,574,557,200,203,326,376,135,26,52,2675,0,17,12,31,40,58,76,75,18,17,26,19,4,4,6,415,0,0,0,7,62,35,93,102
CED324,0,0,0,0,8,44,161,206,40,36,17,27,11,3,12,573,0,0,0,3,8,34,112,80,11,21,18,18,14,3,0,319,0,0,12,53,55,52,103,76,9,12,17,17,7,6,6,422,10,31,66,65,584,999,3791,2153,535,599,569,744,226,44,227,10644,0,9,83,28,18,75,27,3,0,0,0,0,0,0,4,250,0,8,16,6,11,15,28,17,10,3,9,12,9,3,0,155,0,4,17,40,178,222,173,58,11,13,19,19,12,4,15,782,115,64,42,28,66,59,96,53,4,14,4,12,0,0,12,574,18,86,124,48,17,12,12,22,0,0,0,0,0,0,13,348,3,12,20,103,360,561,362,238,70,51,60,67,54,24,45,2018,3,11,29,66,115,267,2067,1410,351,478,768,967,285,46,160,7006,5,18,20,29,93,135,199,87,11,21,21,30,29,0,12,714,0,0,0,0,28,33,121,277
CED325,0,0,0,0,4,14,115,129,20,13,15,17,11,30,19,402,0,0,0,3,5,50,297,115,18,18,10,0,5,5,0,537,0,4,11,41,39,44,68,50,10,12,6,11,4,0,3,306,0,9,15,15,161,219,754,439,102,57,81,119,41,11,44,2058,0,7,50,20,12,41,12,0,0,0,0,0,0,0,5,151,0,9,9,0,11,15,81,28,5,0,9,8,5,0,9,178,0,5,11,60,326,352,399,149,28,17,24,24,12,9,44,1463,120,110,75,56,102,56,97,33,4,4,7,8,5,0,15,691,0,6,11,8,6,0,3,3,0,0,0,0,0,0,3,41,0,7,18,27,128,115,87,59,5,13,14,21,10,0,8,507,11,8,33,59,89,258,2689,1440,256,308,323,340,147,35,105,6102,5,11,22,20,59,100,132,55,8,11,17,8,11,0,10,478,0,5,0,7,56,74,245,323
CED326,0,0,0,0,10,23,23,22,0,4,6,7,0,0,0,98,0,0,0,0,0,14,79,25,4,0,6,4,0,0,0,123,0,4,19,41,54,47,113,54,9,4,22,10,13,6,5,403,5,10,12,12,67,118,395,240,81,48,35,68,24,4,14,1145,3,6,34,11,4,23,0,5,0,0,3,0,0,0,0,88,8,12,21,7,4,10,27,20,5,8,3,6,0,0,4,119,0,6,17,41,201,231,313,113,9,29,21,28,7,8,22,1043,67,127,81,60,88,52,122,52,10,3,5,13,9,3,19,715,0,39,22,20,0,3,5,5,0,0,3,0,0,0,0,104,0,12,8,28,78,70,42,36,7,5,17,19,11,4,4,339,12,8,44,53,96,172,2551,1352,276,266,329,352,113,17,80,5719,5,11,7,5,21,49,87,41,10,6,5,6,6,0,0,266,0,0,0,5,14,10,89,166
CED327,0,0,0,0,19,77,388,759,107,99,68,61,79,31,29,1722,0,0,0,3,3,18,87,51,8,7,10,8,4,3,3,204,5,0,17,23,39,20,50,27,0,12,3,3,0,0,0,203,5,11,26,29,283,423,2754,1390,297,261,226,391,125,22,120,6364,0,9,115,52,32,128,22,11,0,0,0,0,0,0,4,383,0,3,16,11,32,19,75,56,15,8,7,11,4,0,10,271,0,5,21,63,369,374,509,179,27,35,36,29,10,3,24,1696,83,89,69,57,79,50,61,18,4,0,5,0,0,0,15,530,4,29,39,13,17,8,0,7,0,4,0,0,0,0,4,126,0,5,9,59,266,429,310,166,35,26,30,39,33,0,31,1421,0,10,31,46,91,240,2336,1216,235,203,339,390,131,21,81,5383,9,14,13,10,69,95,183,90,16,12,22,9,5,0,9,548,0,0,0,8,23,26,119,323
CED328,0,0,0,0,5,3,11,20,0,0,0,0,0,0,0,37,0,0,0,0,4,16,65,66,20,23,49,28,9,11,0,289,0,5,32,64,68,83,179,136,38,26,33,33,23,20,8,750,11,19,12,15,135,247,963,818,334,420,451,618,231,28,53,4346,0,8,23,5,7,14,5,7,0,0,0,0,3,0,0,71,3,6,5,0,9,4,10,19,0,0,3,36,20,10,0,144,0,4,16,32,86,62,71,24,7,3,9,4,7,3,8,327,80,55,43,57,99,75,232,67,27,15,21,21,15,5,15,833,0,12,9,5,3,0,10,8,0,0,3,0,0,0,5,67,9,7,14,50,125,159,176,109,44,43,41,59,58,31,23,944,9,6,70,82,121,186,864,676,166,184,248,294,144,54,35,3127,3,15,11,16,40,72,122,76,23,58,34,59,39,10,5,590,0,3,0,13,78,50,231,247
CED329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,12,3,4,34,55,47,55,72,71,11,11,5,8,7,4,9,390,0,3,8,5,15,8,53,26,3,5,10,6,8,0,5,174,0,6,18,16,4,7,0,0,0,0,0,0,0,0,3,61,4,4,6,4,4,0,3,0,0,0,0,0,0,0,5,34,0,3,11,13,26,22,25,14,0,0,4,0,0,0,10,121,72,191,134,101,142,90,105,47,5,10,13,14,4,3,42,967,0,4,18,7,4,0,0,5,0,0,0,0,0,5,0,44,0,0,6,13,7,3,15,4,0,0,9,0,3,4,4,69,8,8,28,14,21,18,87,89,26,18,18,24,0,4,12,358,6,13,10,8,7,10,26,26,8,4,4,4,9,0,6,140,0,0,0,0,3,0,4,0
CED330,0,0,0,0,0,4,22,27,0,0,0,0,0,0,3,64,0,0,0,0,0,3,29,18,0,8,0,6,3,0,0,71,0,3,16,37,47,49,78,65,3,9,3,4,0,5,8,320,0,9,8,5,32,40,109,86,23,22,36,96,21,3,17,505,0,17,38,26,6,19,7,0,0,4,0,0,0,0,5,122,3,5,8,3,0,6,6,5,0,4,0,0,0,0,0,43,0,4,11,18,52,58,84,38,10,6,15,15,4,0,9,325,41,134,93,78,145,59,97,32,8,8,8,7,0,0,19,747,0,11,3,7,3,0,0,4,0,0,0,0,0,0,3,38,0,0,6,11,11,26,43,18,6,8,16,18,14,0,9,181,0,7,29,17,19,34,400,240,54,54,68,113,53,10,24,1116,0,16,13,12,9,24,48,19,9,11,15,29,0,0,6,208,0,0,3,5,11,10,8,20
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,6,6,0,0,9,6,3,9,0,46,0,0,0,0,6,0,8,4,6,6,12,24,4,4,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,3,3,0,0,0,0,0,0,3,16,4,4,14,5,4,3,6,12,6,0,7,26,8,3,11,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,6,8,3,0,8,3,6,0,0,48,0,3,0,3,0,0,0,0,0,0,5,8,4,0,0,34,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,0,0,0,0,0,94,632,870,92,86,113,194,42,45,47,2228,0,0,0,0,0,7,192,175,42,53,59,74,30,0,12,642,0,5,19,24,45,40,60,49,12,19,21,35,12,12,3,359,4,17,19,53,175,264,1569,1638,626,782,721,999,269,20,104,7259,8,45,117,48,34,126,37,5,0,0,0,0,0,0,8,435,9,27,22,13,8,4,40,39,17,17,16,23,13,6,0,255,3,4,9,15,41,27,45,14,6,13,7,3,0,0,3,186,180,209,75,49,56,47,78,38,9,14,7,14,18,0,29,835,22,951,1191,222,72,24,18,81,15,9,0,5,6,0,83,2696,0,4,11,38,81,106,190,217,104,106,100,117,148,26,23,1275,6,5,45,50,67,165,3262,2229,762,959,1579,2051,920,81,186,12372,0,9,3,13,27,52,74,84,44,30,38,40,26,0,12,450,0,0,0,9,61,105,195,332
CED402,0,0,0,0,0,14,64,137,13,26,0,13,9,0,13,290,0,0,0,0,0,0,8,10,0,4,4,4,5,0,0,42,0,0,8,8,11,22,33,9,3,0,5,5,0,0,5,117,0,0,6,6,6,7,135,132,44,57,57,73,9,3,13,545,0,26,56,12,3,4,0,0,0,0,0,0,0,0,5,111,0,4,0,0,0,0,3,6,0,0,3,13,0,0,0,32,0,0,4,5,10,7,11,12,0,0,4,16,0,0,0,72,112,280,105,50,66,37,49,21,3,3,11,4,4,0,21,753,5,106,159,31,12,0,4,0,0,0,0,0,0,0,26,348,0,0,7,10,3,6,10,13,6,6,0,5,0,0,5,63,9,0,13,34,46,74,264,172,55,64,86,129,46,5,22,1006,0,9,3,3,11,4,17,15,15,8,18,28,18,0,0,149,0,0,0,0,4,3,8,10
CED403,0,0,0,0,0,10,35,30,9,4,7,36,0,8,4,131,0,0,4,0,6,9,53,113,0,20,20,17,20,0,0,270,0,7,26,54,67,48,91,59,8,24,11,33,16,8,7,465,0,12,12,29,125,173,1272,874,267,247,224,316,92,8,52,3699,4,42,75,24,9,33,6,5,0,0,0,0,0,0,8,210,0,39,24,5,11,6,24,17,15,16,17,11,15,0,5,209,0,9,3,19,23,13,20,7,4,6,0,0,0,0,6,110,158,315,129,49,86,56,120,62,9,14,12,7,14,0,19,1047,13,361,390,92,23,21,19,22,5,0,4,3,0,0,27,989,5,4,14,25,74,81,107,71,25,33,32,56,34,7,13,584,17,16,65,45,51,133,1333,850,234,251,387,444,171,29,52,4078,4,15,0,11,22,41,60,95,12,20,27,29,18,0,9,357,0,0,0,6,90,83,177,196
CED404,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,22,0,4,8,0,0,0,0,39,0,10,7,17,9,7,30,8,0,8,0,3,0,0,3,111,3,0,0,5,0,7,31,33,19,18,16,14,3,0,7,161,0,42,71,34,5,4,0,0,0,0,0,0,0,0,8,168,0,0,6,0,0,0,11,4,0,8,0,10,8,0,0,45,0,0,4,0,4,9,25,12,0,0,0,3,0,0,5,64,81,264,118,60,35,11,28,20,5,0,0,4,0,0,29,651,5,54,81,18,6,4,4,7,0,0,0,0,0,0,17,202,0,0,4,5,0,4,3,10,0,0,0,3,0,0,0,37,4,3,17,19,7,15,218,169,34,65,119,83,36,12,15,809,0,9,3,3,0,12,27,16,3,4,0,12,6,0,6,97,0,0,0,0,0,3,8,10
CED405,0,0,0,0,0,9,96,70,22,21,7,17,0,8,0,248,0,0,0,0,0,0,60,27,10,4,32,3,0,0,0,145,0,6,23,33,42,28,52,40,7,8,19,10,7,4,0,278,5,56,51,71,105,106,512,340,83,83,68,103,26,4,30,1644,8,123,209,59,34,195,62,9,6,4,0,0,0,0,10,720,4,39,21,6,23,17,72,60,3,15,10,26,9,0,10,310,0,0,3,10,26,9,25,9,3,0,0,4,0,0,0,98,272,278,119,45,61,52,78,60,0,9,17,23,14,0,35,1064,23,577,784,176,56,26,42,65,4,5,0,15,0,0,53,1828,0,0,14,11,28,42,53,43,9,13,9,14,5,6,4,247,8,6,74,65,48,81,1552,1070,371,452,622,730,294,36,68,5475,0,3,3,5,9,36,34,40,10,8,11,6,14,0,8,190,0,0,4,0,26,36,70,121
CED406,0,0,0,0,0,4,5,5,0,0,0,0,0,5,0,19,0,0,0,0,0,11,26,21,3,3,3,0,3,0,0,75,0,0,17,29,25,32,63,29,10,4,7,6,4,0,0,233,0,0,13,15,34,43,366,251,47,50,41,53,14,3,13,932,3,23,80,30,17,35,11,0,0,0,0,0,0,0,10,210,5,23,14,15,26,19,61,18,0,6,0,7,4,0,0,201,0,5,3,11,48,36,41,10,4,3,3,0,5,0,3,173,104,312,198,101,139,54,108,36,4,6,0,3,3,0,35,1098,0,57,79,27,11,5,8,9,0,0,0,0,0,0,10,201,0,0,0,12,25,19,16,22,0,4,5,15,11,0,5,136,9,11,61,48,31,74,678,303,71,47,45,59,32,4,15,1482,10,14,6,12,18,23,34,18,6,6,7,3,0,0,4,178,0,0,0,5,74,70,98,108
CED407,0,0,0,0,7,117,780,801,104,134,117,141,43,44,25,2319,0,0,0,0,0,11,130,126,20,26,25,10,17,0,0,378,0,3,18,18,25,21,51,21,8,0,4,0,3,0,4,185,6,15,15,16,91,124,700,404,91,74,79,108,22,0,29,1783,6,43,145,60,7,104,33,6,0,3,0,0,0,0,12,411,7,21,14,0,8,10,27,35,12,17,8,13,7,3,3,189,3,5,5,9,29,51,68,19,3,0,13,5,8,0,0,201,163,375,191,83,52,27,43,14,0,3,0,6,0,0,28,999,3,124,183,50,13,12,7,5,0,0,0,0,0,0,13,417,0,3,3,10,45,45,62,60,15,24,25,28,21,0,13,361,12,8,41,41,39,125,2948,1711,487,459,785,898,337,31,84,8005,0,6,8,14,15,33,67,38,4,3,9,9,5,0,5,222,0,0,3,0,23,82,206,353
CED408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,22,69,69,55,75,42,0,9,8,4,7,0,4,373,4,15,7,4,14,29,138,60,22,29,17,22,3,0,6,369,0,16,24,7,8,3,0,0,0,0,0,0,0,0,0,67,0,9,8,0,5,0,7,5,0,0,0,0,0,0,0,30,0,4,0,11,8,4,7,5,0,5,0,0,0,0,3,51,138,348,172,103,179,80,129,45,0,8,5,18,11,0,32,1267,0,49,37,6,4,4,0,0,0,0,0,0,0,0,4,116,3,0,3,4,13,8,17,13,0,3,3,3,6,0,3,102,13,17,38,24,26,19,167,82,13,28,25,22,9,3,12,498,0,15,3,6,10,11,19,22,0,6,4,0,0,0,3,111,0,0,0,0,18,12,33,15
CED409,0,0,0,0,5,95,846,1041,170,134,124,165,64,52,30,2735,0,0,0,0,0,0,47,80,10,10,17,10,7,0,5,185,0,0,11,20,8,31,28,12,3,6,0,4,5,0,0,126,0,5,7,12,31,28,145,90,22,17,8,14,3,3,9,402,0,18,74,24,15,54,52,0,0,0,0,0,0,0,9,245,3,16,12,3,0,0,32,11,0,0,4,11,0,0,0,93,0,0,5,6,37,39,70,27,0,6,17,11,8,3,10,238,82,256,140,60,38,20,29,10,0,0,0,3,5,0,33,670,5,81,167,41,20,12,5,6,0,0,0,0,0,0,20,358,0,0,4,3,17,10,17,8,6,3,0,0,0,0,0,82,3,9,29,20,11,27,768,456,101,111,176,192,65,0,29,2003,0,3,9,4,16,19,75,45,12,12,3,14,4,3,6,237,0,0,0,0,8,16,99,217
CED410,0,0,0,0,18,36,74,59,8,17,11,4,6,0,0,225,0,0,0,0,3,20,162,140,17,30,36,22,22,12,6,465,0,9,22,43,55,44,99,37,17,9,11,10,18,0,12,375,8,22,15,57,276,417,2882,2277,591,624,552,745,264,33,126,8889,10,42,90,28,20,35,15,3,0,0,4,0,0,0,0,239,12,42,14,8,16,33,73,60,11,21,5,13,7,0,5,319,0,3,10,15,32,21,21,6,0,0,3,8,0,0,3,120,222,355,117,71,76,56,89,40,6,9,11,12,6,3,29,1079,18,367,410,70,27,18,17,25,0,3,0,0,0,0,40,997,4,0,25,59,238,225,246,163,64,52,67,87,79,17,31,1352,14,23,60,87,124,232,2583,1816,612,672,1032,1260,465,51,96,9121,5,7,10,24,32,36,102,55,17,10,24,27,14,0,0,364,0,3,0,12,94,114,198,431
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,4,0,0,0,0,0,0,4,0,6,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,0,0,0,0,0,4,10,0,3,7,0,0,0,0,0,24,0,0,0,3,9,3,56,27,3,4,3,0,0,0,0,108,0,8,23,31,33,44,97,61,15,16,9,8,8,0,0,361,0,0,4,4,25,23,192,133,29,30,18,31,15,0,9,510,6,14,70,22,8,63,44,8,0,0,0,0,0,0,11,258,3,7,10,5,6,0,15,31,4,0,0,6,0,0,7,87,0,0,3,6,14,20,46,35,3,0,6,11,0,0,0,155,41,109,101,63,94,43,136,72,3,5,11,8,0,0,12,709,0,3,9,7,0,0,4,3,0,0,0,0,0,0,0,28,0,0,8,10,8,17,44,20,4,3,8,6,6,0,0,132,30,17,78,65,41,91,1056,759,115,120,141,163,59,14,42,2790,0,7,9,7,28,71,158,114,20,18,28,27,19,0,15,527,4,0,0,0,15,9,12,56
CED502,0,0,0,0,29,150,704,657,82,98,57,153,60,40,40,2067,0,0,0,8,9,30,274,197,18,10,13,20,12,0,3,586,0,0,13,21,26,31,55,40,5,3,7,5,0,5,0,214,0,3,9,15,74,150,1238,636,113,77,89,122,34,4,46,2601,3,8,29,11,4,43,18,0,0,0,0,0,0,0,10,122,5,6,8,7,7,12,77,66,11,5,0,8,0,0,0,207,0,0,0,4,25,13,43,26,0,4,5,3,0,0,0,127,77,75,74,43,104,49,55,40,0,3,6,5,0,0,12,548,0,7,11,4,5,0,0,0,0,0,0,0,0,0,0,29,0,0,6,17,34,46,121,69,9,16,13,11,19,0,8,366,17,19,199,240,206,290,3973,3214,495,382,585,705,191,33,137,10690,3,3,3,45,125,389,756,365,42,57,67,65,50,11,25,2006,0,0,0,4,21,24,110,151
CED503,0,0,0,0,5,6,19,21,0,0,0,4,0,0,0,51,0,0,3,0,0,5,12,18,0,0,0,0,0,0,0,45,0,3,31,46,48,35,97,40,6,4,11,16,3,3,0,345,0,3,0,0,19,20,96,75,15,18,12,16,6,0,6,288,8,6,35,12,3,17,3,6,0,0,0,0,0,0,5,97,5,3,4,5,6,0,8,3,0,0,0,3,0,0,0,43,4,0,5,4,9,14,24,27,4,0,6,10,7,0,0,110,85,90,92,64,86,47,72,38,6,0,6,4,8,0,15,618,0,14,14,11,0,0,0,0,0,0,0,0,0,0,4,41,0,0,15,9,10,6,11,14,3,0,0,0,0,0,3,81,22,15,92,58,41,42,530,388,59,38,51,86,32,11,31,1490,3,12,3,8,22,53,103,66,24,26,11,29,11,12,8,381,0,0,0,0,6,9,18,55
