CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED137,181,2021,3095,1527,1245,1226,1017,560,204,11077,94,2015,4474,2121,1552,1440,951,422,133,13201,67,1647,5728,2787,1925,1828,1050,338,86,15459,17,1091,4626,2464,1663,1330,705,226,53,12186,24,549,4156,2540,1732,1260,592,182,38,11080,11,228,2951,2312,1417,1061,423,124,27,8546,3,181,5067,5303,3375,2179,684,177,50,17012,0,26,857,1608,1108,704,217,70,17,4599,0,33,1068,2763,2890,1589,528,123,38,9036,387,1299,3319,2102,1176,957,757,670,753,11414,8326,17054,44942,31446,22985,20547,14966,8357,4033,172643
CED138,276,1093,1809,1606,1660,2019,1971,1063,355,11848,165,1023,2195,2033,2129,2355,1539,634,215,12295,39,609,2308,2365,2486,2479,1500,506,128,12422,11,258,1542,1824,1910,1546,794,233,57,8178,7,101,1138,1591,1639,1325,576,198,72,6651,7,46,682,1234,1272,945,345,101,34,4667,6,40,808,1939,2120,1389,484,124,29,6934,0,3,146,425,430,296,113,38,13,1457,13,13,184,762,904,670,336,106,40,3024,737,653,1632,1815,1732,1794,1713,1445,1436,12946,8502,6937,16911,20279,21616,23944,23116,12984,5793,140075
CED139,515,1261,1720,1376,1299,1543,1483,818,212,10221,346,1554,2424,1948,1878,1947,1241,506,178,12028,188,1191,2749,2292,2240,2234,1134,384,77,12483,86,592,1964,1617,1552,1476,636,183,31,8139,22,304,1628,1437,1426,1249,479,203,71,6813,14,141,1069,1213,1159,908,264,91,27,4888,7,90,1264,1860,1966,1308,384,86,32,7001,0,8,162,310,402,248,96,27,11,1271,15,19,186,460,586,466,243,91,27,2091,948,900,1625,1567,1547,1591,1544,1328,772,11823,10076,9694,19302,17955,18668,20494,18454,10999,4472,130124
CED140,292,1183,1265,1277,1314,1518,1602,916,297,9673,144,1091,1719,1456,1589,1824,1359,609,185,9984,68,795,2120,1839,2075,2064,1224,467,145,10795,26,447,1714,1664,1708,1507,767,229,63,8130,9,186,1407,1558,1623,1282,527,180,67,6830,0,63,1006,1417,1384,1132,359,102,21,5477,10,55,1305,2700,2766,1840,455,130,25,9281,0,4,212,650,677,394,126,43,19,2126,0,9,211,1018,1237,839,275,127,36,3755,415,418,975,957,989,1008,1121,1193,1143,8224,8514,7741,15546,18415,19900,20601,18589,11769,4904,125967
CED141,350,1144,1368,1225,1287,1445,1569,892,248,9523,165,1280,1840,1581,1791,1782,1157,544,140,10279,81,885,2399,2060,2233,2127,1223,398,80,11485,17,461,1933,1822,1730,1480,622,182,38,8291,11,198,1549,1643,1625,1279,437,159,45,6951,3,78,1063,1317,1417,1013,243,75,16,5229,5,68,1367,2694,2667,1642,380,66,21,8913,0,9,198,542,546,343,68,23,9,1728,3,5,194,699,876,558,179,77,34,2638,407,386,858,815,829,819,970,1043,743,6869,8720,8066,16592,18037,19352,19836,18216,11649,4300,124765
CED142,189,1941,4134,1512,848,753,641,288,76,10389,122,1933,5196,2045,1055,934,698,301,62,12345,57,2079,7075,2737,1394,1123,793,276,49,15585,23,1386,6807,2561,1323,965,522,164,24,13773,15,844,6257,2817,1479,1034,468,156,23,13090,3,451,5036,2709,1340,897,418,115,32,11008,10,488,10120,7614,3608,2050,653,198,34,24772,9,110,2223,2541,1314,674,219,56,12,7166,10,124,3033,5526,3812,2164,729,179,31,15619,397,1780,5046,2748,1674,1341,1013,673,335,15008,5221,21303,66085,38113,21905,17105,11536,5460,1726,188461
CED143,230,906,973,677,797,890,913,663,230,6288,101,873,1403,987,1066,1093,975,616,225,7334,40,919,2296,1416,1419,1375,1126,636,182,9411,12,588,2324,1421,1355,1183,876,382,106,8254,16,314,2256,1642,1457,1274,737,379,93,8158,9,106,1860,1396,1284,1129,596,289,76,6753,8,109,3585,4057,3409,2265,1015,435,118,15001,4,18,850,1679,1442,861,306,137,38,5340,5,21,1244,5134,6580,3459,1112,446,123,18124,283,307,916,897,832,680,603,613,705,5837,8534,7500,19905,22047,22937,17994,12869,8447,3588,123828
CED144,213,1447,2517,1994,1808,1582,752,408,132,10852,110,1376,3202,2370,2195,1680,679,276,127,12009,59,1222,3642,2605,2368,1765,606,153,49,12456,15,673,2624,2013,1509,1162,375,80,22,8475,13,305,2034,1750,1304,941,257,66,18,6675,3,107,1352,1268,1053,693,165,28,16,4680,4,88,1719,2304,1795,1044,234,38,12,7237,0,10,256,513,429,223,61,7,3,1505,4,8,260,774,692,355,84,19,16,2218,807,1161,2769,2175,1690,1419,1020,911,762,12719,10532,12922,29658,25802,22568,20243,14172,8469,4030,148398
CED145,146,751,1271,705,634,662,759,502,163,5595,68,737,1896,921,804,833,832,505,179,6763,46,921,2862,1348,1097,1030,958,488,131,8888,8,676,3019,1259,1023,920,709,381,90,8089,11,365,3201,1506,1207,944,725,327,98,8388,6,185,2698,1537,1123,872,640,333,82,7477,14,208,5851,4093,2670,1791,1057,488,145,16305,6,59,1413,1710,1199,777,404,206,69,5840,7,71,2568,5936,5692,3292,1601,689,218,20071,380,471,2076,1396,1046,793,760,993,1348,9257,6356,7399,29509,22889,19184,14854,12206,7953,3903,124257
CED146,387,1482,2013,2034,1910,1590,777,309,72,10577,235,1629,2764,2689,2576,1982,643,200,53,12763,118,1527,3581,3237,2852,2199,591,94,10,14212,37,868,2868,2484,2152,1555,360,41,13,10384,11,381,2316,2254,1825,1181,306,38,8,8316,9,145,1422,1670,1404,838,166,18,5,5674,3,109,1739,2819,2050,1147,188,24,4,8088,0,12,217,618,374,197,41,9,0,1470,7,15,188,577,478,254,72,24,7,1626,1001,880,1941,1915,1491,1343,991,842,623,11024,14596,13950,27054,28678,25218,22144,13772,6466,2331,154210
CED147,411,1299,1746,1557,1482,1474,1532,962,219,10683,187,1462,2371,1839,2000,1833,1170,530,134,11528,93,1108,2743,2373,2426,2177,1193,399,88,12592,31,529,2177,1904,1831,1518,664,207,40,8900,7,241,1766,1721,1709,1302,509,191,37,7492,5,104,1156,1411,1366,1016,278,98,22,5457,9,72,1565,2589,2584,1659,403,132,25,9030,4,5,198,529,494,347,112,42,10,1742,8,18,195,659,853,603,292,140,29,2787,557,501,1008,1010,1031,973,1071,1136,1019,8295,10265,9290,19618,19998,21099,21244,19079,12146,4497,137237
CED194,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,181,1061,1413,1379,1526,1475,1312,706,213,9272,111,1245,2284,1918,1940,1851,1100,441,109,11003,53,1060,3101,2531,2502,2257,1061,258,67,12892,10,537,2544,2110,2032,1699,594,109,27,9663,4,229,2139,2157,1968,1566,408,101,27,8589,3,86,1319,1764,1495,1080,267,33,8,6055,3,51,1701,3260,2696,1791,363,42,14,9922,0,3,202,726,656,423,91,12,5,2119,0,14,191,746,820,561,119,33,21,2503,338,419,893,829,792,704,711,801,702,6195,9314,9661,20219,22280,21548,20530,15998,8898,3540,131987
CED202,265,1180,1628,1343,1311,1491,1541,766,208,9743,165,1236,2411,1782,1825,1777,1167,433,183,10972,70,903,2702,2276,2265,2077,961,297,50,11594,19,440,1996,1699,1746,1462,543,153,48,8108,13,175,1664,1614,1564,1224,385,139,49,6814,0,71,971,1292,1274,848,252,60,16,4784,8,68,1179,2031,2156,1400,352,52,16,7260,0,9,157,413,455,302,85,21,12,1458,9,27,175,615,841,544,230,81,25,2539,629,586,1172,1025,1203,1133,1221,971,771,8712,9108,8630,18890,18557,19622,19499,17372,8981,3545,124204
CED203,269,1079,1587,1362,1393,1590,1531,815,235,9867,132,1237,2426,1895,1830,1929,1242,524,137,11359,69,859,2490,2143,2234,2145,1077,344,85,11441,9,447,1939,1676,1672,1414,632,164,36,7990,9,209,1648,1681,1605,1254,485,136,57,7074,0,86,966,1225,1301,889,268,68,19,4833,4,68,1120,1938,2077,1398,351,85,25,7060,0,15,134,406,454,286,85,19,7,1397,5,11,140,478,636,443,178,72,34,2002,608,599,1419,1292,1342,1362,1325,1119,899,9967,8508,8279,18378,18254,19119,20117,18353,10043,4060,125110
CED204,205,1295,2110,1809,1758,1516,1040,440,139,10323,146,1473,3234,2760,2462,2061,862,250,58,13295,69,1176,3903,3060,2766,2261,757,151,30,14179,14,607,2766,2392,2080,1604,452,71,16,9994,9,250,2069,1950,1726,1285,326,70,15,7705,3,101,1191,1434,1191,809,182,28,5,4950,4,63,1382,2196,1830,1276,257,32,5,7042,0,7,186,444,365,255,53,6,0,1322,0,16,159,461,461,351,99,34,20,1603,739,883,2161,1656,1438,1207,979,825,554,10451,11078,12226,26482,25001,22936,21311,15323,8050,3212,145620
CED205,187,1345,2587,2264,1543,1156,622,281,68,10049,131,1564,3813,2963,2015,1454,500,135,44,12605,71,1149,4225,3283,2338,1670,377,60,16,13187,22,596,3004,2516,1564,1080,226,23,6,9038,4,248,2317,2114,1327,928,167,24,9,7133,9,84,1322,1503,918,585,91,8,0,4523,5,82,1512,2380,1271,724,136,22,3,6131,0,18,180,452,273,144,36,0,0,1115,3,20,174,422,295,205,41,10,0,1180,904,1040,2489,2134,1473,1131,711,451,171,10506,12026,13349,32238,29729,21444,17912,10657,4948,1482,143794
CED206,243,1162,1433,1447,1408,1441,1434,750,184,9503,155,1292,2126,1749,1977,1997,1199,428,90,11008,69,955,2743,2268,2471,2265,1060,311,59,12201,14,462,2338,1974,2117,1651,633,144,31,9363,10,208,2122,2028,1980,1505,467,117,34,8478,0,97,1308,1524,1479,1112,305,53,12,5889,0,56,1688,2855,2702,1747,419,84,8,9554,0,17,236,575,621,401,95,17,5,1958,4,15,173,652,910,568,181,71,21,2604,475,451,964,919,1120,1023,887,744,450,7045,9563,8754,19271,20562,21712,20483,16491,8622,2699,128156
CED207,138,1245,1794,1324,1324,1189,1254,1006,402,9670,67,1263,2672,1721,1711,1469,1155,768,350,11180,39,1235,3406,2220,2084,1782,1002,566,199,12538,22,637,2887,1900,1617,1340,648,311,117,9480,11,301,2248,1949,1737,1303,553,254,94,8447,6,111,1416,1706,1488,1040,379,142,61,6349,0,106,2046,3992,3487,2132,529,179,68,12550,0,26,346,1195,1055,624,142,50,21,3469,4,30,342,1605,1982,1038,254,104,54,5414,414,962,1685,1037,906,779,748,919,951,8398,11321,15469,26052,24258,23436,19846,16313,12503,6401,155599
CED208,94,1043,2196,1350,1231,1091,816,423,168,8413,41,1034,2945,1799,1615,1248,714,260,80,9745,26,846,3797,2344,1914,1458,593,167,55,11192,11,449,3528,2226,1640,1177,416,73,33,9547,4,194,3123,2361,1772,1077,357,75,32,8996,0,75,2112,2031,1533,897,206,43,10,6911,0,65,3003,4330,3043,1518,291,45,14,12299,0,8,501,1112,919,383,66,10,5,3001,5,22,416,1885,1826,656,135,23,10,4976,354,610,1622,1182,1015,818,761,751,750,7863,7078,9849,29817,25311,21520,16198,11117,7645,4071,132603
CED209,194,1086,1445,1257,1152,1339,1698,921,216,9315,133,1128,1975,1700,1568,1561,1371,578,132,10130,51,874,2660,2210,2025,1908,1224,383,90,11419,15,429,2182,1974,1714,1360,642,213,57,8584,0,180,1979,2056,1783,1256,529,158,43,7989,0,59,1301,1602,1472,913,332,79,23,5788,3,44,1635,3009,2575,1542,434,125,30,9404,0,7,212,623,604,372,95,33,6,1969,0,21,239,899,1049,698,276,96,38,3320,471,505,864,859,901,884,1174,1117,1030,7807,8476,8523,18315,19922,18524,18027,18371,9805,3841,123811
CED210,209,1275,1845,1358,1310,1348,1331,728,218,9628,123,1346,2649,1767,1805,1670,1096,394,131,10986,52,1024,3266,2133,2053,1926,945,259,78,11735,13,543,2637,1721,1690,1461,576,143,25,8797,4,235,2164,1761,1630,1184,419,144,52,7587,4,90,1370,1373,1334,891,249,61,16,5378,3,65,1876,2735,2380,1536,317,88,19,9027,7,13,282,566,567,353,84,25,8,1914,3,26,319,940,1090,580,211,67,14,3248,559,744,1856,1519,1292,1058,1126,905,628,9682,9064,10402,23778,20514,20133,18988,15914,9111,3776,131674
CED211,155,1041,1424,1368,1307,1323,1368,916,297,9192,109,1162,2237,1857,1861,1626,1263,640,221,10969,42,998,2870,2300,2324,2021,1101,438,147,12238,14,553,2476,2129,1894,1497,671,222,64,9533,6,213,2235,2124,2000,1457,516,164,65,8795,4,77,1458,1887,1647,1070,296,68,24,6523,3,51,2033,4173,3360,2034,447,104,35,12237,0,4,324,1004,901,470,94,28,13,2839,3,4,260,1263,1350,699,183,64,22,3856,298,389,879,867,814,748,755,948,1134,6831,9568,9432,20697,24068,22458,19537,16157,10489,4847,137248
CED212,208,1070,1480,1447,1375,1383,1267,687,214,9131,128,1163,2386,2008,2057,1871,990,447,142,11200,55,929,2817,2456,2596,2211,955,298,66,12378,12,419,2469,2091,1999,1515,588,155,46,9299,5,195,1967,2049,1831,1343,450,126,37,8006,3,62,1234,1631,1539,1007,262,56,19,5812,0,56,1651,2803,2644,1596,411,97,21,9285,0,3,208,602,591,322,84,26,7,1846,6,9,200,879,1092,601,209,80,29,3102,579,535,1293,1312,1347,1047,908,875,717,8618,9215,8568,19993,21835,21967,19405,15113,8681,3550,128332
CED213,271,948,1097,1060,1286,1587,1919,1197,346,9718,218,1050,1543,1322,1836,1838,1573,730,218,10319,126,725,1855,1670,2157,2065,1438,623,126,10782,30,348,1625,1396,1731,1595,886,335,86,8036,10,145,1441,1443,1693,1378,668,271,91,7140,0,73,811,1071,1208,978,450,156,32,4779,7,54,1007,2010,2304,1741,697,205,51,8073,0,11,170,439,556,412,201,81,16,1887,7,12,190,732,1095,1015,554,232,78,3911,570,433,882,1030,1324,1290,1557,1516,1224,9823,8232,6826,13646,15714,19647,20756,21953,14401,5492,126669
CED214,113,1299,2791,1720,1534,1279,828,326,114,9998,99,1340,4033,2468,2116,1622,574,171,69,12490,34,1110,4560,2711,2192,1544,507,104,17,12779,13,578,3541,2336,1551,1055,277,38,8,9395,0,223,2878,2177,1451,869,237,47,13,7889,0,95,1949,1773,1128,617,116,13,3,5709,0,68,2744,3521,2028,985,158,17,3,9527,0,6,470,873,485,209,38,3,0,2086,4,21,406,1201,838,288,69,15,4,2848,641,1030,2926,1933,1447,1215,1033,861,670,11760,8354,12347,35377,27544,21769,18224,13633,7554,3419,148218
CED215,171,1044,1851,1734,1257,1028,846,428,127,8487,96,1146,3015,2686,1802,1329,694,241,82,11084,48,951,3631,3449,2250,1581,662,160,48,12775,16,492,3052,3100,1970,1246,377,86,22,10352,12,227,2661,3179,2044,1222,286,86,23,9734,0,94,1742,2698,1768,958,207,33,14,7514,0,70,2729,6246,3716,1687,279,38,11,14771,0,12,491,1770,1010,482,73,10,4,3854,9,26,456,2342,1931,790,149,19,9,5725,567,822,2346,2183,1292,871,685,544,451,9770,9572,9810,28701,36362,24236,17137,11831,6068,2518,146246
CED216,264,986,1516,1322,1407,1742,1712,887,205,10050,164,1089,1948,1664,1748,1896,1303,500,146,10466,84,747,2256,1840,1936,2016,1152,361,81,10467,24,409,1664,1401,1427,1357,625,158,45,7105,10,241,1440,1264,1342,1226,421,135,26,6111,4,83,829,922,944,860,275,62,16,4006,6,65,958,1453,1613,1372,310,59,20,5857,4,9,156,302,370,298,100,25,5,1274,3,11,168,431,612,529,181,66,30,2044,813,703,1773,1773,1628,1774,1967,1475,993,12900,8251,7366,17215,16748,18427,22658,22098,11705,3939,128407
CED217,110,724,796,694,935,1048,1289,847,347,6792,74,744,1216,985,1216,1356,1265,674,255,7791,41,733,1742,1286,1477,1639,1422,641,184,9166,12,398,1817,1350,1459,1371,1008,406,118,7943,6,181,1709,1424,1690,1446,774,312,94,7636,6,91,1233,1385,1452,1215,593,234,75,6275,9,66,2058,3597,3816,2619,913,349,135,13562,3,13,448,1271,1558,982,330,117,37,4765,15,30,518,3574,5510,2839,869,311,106,13764,359,323,745,821,941,721,770,820,919,6414,10235,8344,14967,19531,24118,20184,15854,9578,4822,127627
CED218,194,1181,1821,1936,1741,1340,828,370,76,9496,146,1334,2887,2688,2470,1732,631,168,59,12110,74,1069,3542,3123,2810,1928,549,73,21,13194,23,610,2846,2684,2119,1356,370,48,5,10064,5,252,2357,2376,1963,1173,250,41,5,8431,7,110,1443,1817,1396,816,159,23,6,5777,0,77,1691,3034,2246,1025,190,18,5,8282,5,10,251,656,479,223,45,11,3,1671,0,25,186,675,626,281,63,25,4,1892,722,1020,2626,2228,1515,1014,773,437,191,10538,11541,11527,26143,28195,23619,18609,13241,5950,1848,140670
CED219,254,1148,1923,1655,1382,1182,1033,416,92,9089,169,1351,2881,2461,1980,1577,739,271,93,11511,71,1087,3522,3001,2460,1800,716,139,31,12821,20,561,2765,2468,1977,1369,414,84,14,9668,10,244,2326,2199,1708,1147,289,48,15,7983,0,102,1281,1640,1311,857,188,24,12,5421,7,71,1622,2595,2206,1230,220,28,9,7992,0,12,217,484,416,238,45,8,4,1434,4,24,189,465,551,329,102,26,13,1701,684,677,1701,1568,1273,965,893,603,321,8689,9964,9861,24951,24424,20627,17203,13532,5974,1909,128449
CED220,102,1081,1577,797,743,712,915,565,205,6694,70,1141,2440,1084,1019,903,954,554,187,8356,31,1278,3782,1586,1219,1277,1024,494,168,10867,10,754,4137,1577,1165,1033,786,361,99,9916,16,392,3950,1850,1223,1091,707,350,102,9666,5,141,2750,1694,1220,1004,539,275,60,7680,8,125,4796,4359,2885,2109,930,408,125,15742,5,32,963,1489,1193,771,367,145,68,5031,6,43,1129,3879,4579,2770,1153,453,163,14181,293,577,1663,1038,924,750,781,749,775,7553,7314,11701,31632,22358,19519,16521,13192,8606,3870,134712
CED221,257,1463,2539,2462,1762,1304,684,314,57,10828,213,1822,4152,3685,2716,1783,592,142,33,15124,84,1335,4725,4516,3269,1994,476,82,21,16500,26,602,3427,3394,2251,1366,300,25,14,11406,12,265,2506,2753,1804,1018,185,20,14,8577,3,93,1355,1814,1213,632,133,18,0,5256,3,69,1474,2645,1638,798,111,20,0,6768,0,10,180,477,241,134,19,3,0,1075,4,18,147,374,288,114,34,19,0,995,675,798,1978,1655,1219,942,675,450,266,8654,11548,12543,30666,31300,22019,16563,10430,4887,1644,141598
CED222,157,1519,2927,2060,1818,1579,1039,626,234,11959,116,1782,4618,2888,2602,2090,972,314,121,15513,41,1324,4768,3047,2601,1998,709,158,46,14690,9,638,3537,2300,1832,1323,430,82,22,10171,7,267,2684,2174,1655,1063,365,82,24,8315,6,105,1588,1677,1272,732,206,33,10,5612,3,68,2113,3329,2433,1138,214,45,12,9358,0,14,317,829,578,252,49,8,0,2048,0,13,298,1135,992,376,68,35,11,2930,514,1025,2311,1417,1121,1012,915,907,773,9994,10219,15407,34431,27900,23858,20465,16254,10506,4915,163955
CED223,329,1020,1500,1310,1546,1879,1871,908,213,10584,264,1212,2195,1928,2040,2336,1531,580,137,12233,158,943,2532,2283,2561,2595,1339,339,96,12835,35,409,1770,1834,1857,1720,726,219,39,8603,13,174,1351,1536,1625,1420,589,159,46,6911,10,81,845,1094,1262,1007,288,91,22,4693,0,47,863,1657,1925,1417,404,94,21,6431,0,15,116,282,327,262,110,31,3,1139,7,12,148,384,530,508,210,95,26,1939,811,645,1259,1305,1526,1687,1701,1401,921,11260,8916,7052,16281,17472,19886,23021,21401,11529,4247,129805
CED224,165,908,1203,1233,1328,1370,1188,677,259,8323,105,1001,1964,1796,1923,1694,1061,419,173,10144,46,788,2703,2339,2384,2036,928,311,86,11626,19,466,2567,2186,2055,1530,636,167,61,9689,8,207,2205,2265,2083,1363,441,134,47,8762,0,77,1618,1975,1706,1094,318,55,31,6874,3,58,2151,4028,3679,1861,421,78,25,12313,0,10,321,1151,944,463,99,22,8,3008,0,20,304,1584,1686,721,154,43,13,4526,326,389,981,983,826,739,766,814,739,6562,9111,8485,19743,23851,23399,19002,14574,8841,4126,131118
CED225,150,869,1086,1085,1125,1258,1509,871,270,8214,85,954,1628,1360,1499,1475,1266,603,167,9033,54,893,2467,1946,1873,1784,1356,476,104,10951,22,482,2442,1831,1740,1569,843,264,49,9226,9,210,2232,2131,2002,1528,651,225,46,9038,0,98,1495,1862,1670,1217,418,126,30,6915,0,49,2281,4194,3689,2311,680,138,36,13372,0,11,397,1162,1103,619,160,44,8,3489,3,14,348,1818,2127,1219,348,82,21,5987,297,407,813,842,814,728,782,649,577,5922,9163,8816,18952,22268,21990,19590,16381,9268,3870,130296
CED226,108,1007,1176,738,845,966,1297,839,344,7310,55,1027,1622,995,1048,1181,1284,753,297,8274,37,1118,2671,1383,1388,1429,1416,716,236,10397,7,670,2591,1308,1317,1271,973,487,163,8789,13,311,2504,1521,1505,1418,914,412,148,8745,10,119,1715,1439,1301,1171,650,277,122,6794,6,101,2731,3456,3275,2668,1178,443,165,14024,9,31,499,1348,1469,994,368,136,60,4903,3,31,595,3395,5542,3299,1136,377,155,14539,373,461,891,723,865,791,654,672,740,6179,11534,12067,20867,19873,22915,20099,15755,9605,4987,137707
CED227,250,1236,2061,1863,1429,1073,872,488,138,9413,149,1485,3257,2720,1969,1420,735,279,65,12085,52,1239,4053,3361,2518,1838,681,176,37,13957,11,587,3132,2783,2112,1344,395,108,24,10490,15,236,2498,2549,1976,1104,279,66,35,8756,3,91,1477,1923,1479,795,175,35,6,5995,0,62,1714,3088,2478,1210,215,65,11,8833,0,12,229,659,533,262,41,19,4,1759,5,10,180,658,760,408,124,50,15,2216,608,623,1491,1337,1141,833,743,687,484,7940,10598,10078,26068,26702,20885,15597,11444,6381,2079,129832
CED228,200,1445,2915,2439,1514,1118,723,291,86,10735,129,1707,4348,3674,2317,1501,565,182,49,14473,65,1314,4962,4552,2715,1807,530,111,14,16078,22,576,3646,3492,1989,1245,338,62,12,11382,3,253,2680,3120,1781,1068,248,37,17,9205,0,107,1598,2310,1251,757,126,19,5,6169,0,83,2225,4393,1959,1024,209,19,8,9904,3,18,301,891,404,185,41,5,0,1847,4,12,252,792,436,247,63,20,6,1829,824,1072,2792,2276,1296,912,767,501,348,10796,11294,13134,35954,36421,21287,16791,11050,4825,1603,152359
CED229,87,1125,2305,963,712,752,922,459,140,7464,64,1170,3582,1487,1057,989,946,444,111,9844,35,1260,5177,2146,1402,1280,1025,442,99,12865,16,725,5018,2161,1299,1103,742,302,62,11422,11,353,4677,2518,1610,1184,666,267,89,11377,7,162,3164,2234,1402,1038,536,211,59,8807,7,119,5470,5583,3486,2216,955,302,84,18222,0,32,988,1734,1319,779,347,97,24,5320,5,58,1133,3811,4111,2505,1048,319,87,13078,319,766,2779,1955,1456,1176,1082,873,726,11135,5881,11363,40606,28521,21470,17343,13427,6958,2862,148433
