CED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED101,2037,742,4515,24674,33212,16516,12278,41062,7359,135106
CED102,2052,882,4459,27343,36537,16274,11872,51832,10284,154148
CED103,2024,566,4449,30760,43059,20304,13620,43485,7352,158584
CED104,1772,694,4070,25305,36972,19779,13068,24470,4222,123813
CED105,1829,723,3523,21497,25349,12329,13001,63021,14804,150001
CED106,2448,587,5448,28284,40504,20863,13201,29408,4551,136812
CED107,2124,464,4049,24910,36698,17542,12962,32259,11929,136304
CED108,1516,354,2464,23504,32054,15505,14738,57611,11950,155365
CED109,2224,777,5094,25914,34914,16189,10853,29827,6116,123810
CED110,2809,1021,6018,25396,38249,19351,13561,34136,11374,142073
CED111,2055,749,4479,27244,38504,17847,12131,31511,7006,134240
CED112,2266,1067,4801,24279,34542,17043,13401,33898,8576,131734
CED113,1624,479,3452,26375,39924,18596,12429,26188,9441,132953
CED114,2317,703,4701,26248,36025,17067,12656,36539,12486,141007
CED115,1921,781,3531,20762,24414,11503,11761,62403,11631,142478
CED116,2617,669,5405,23816,38463,20096,14426,31041,10222,138060
CED117,1314,403,2659,29192,44344,16012,7479,24562,6766,128354
CED118,1086,203,1995,27354,39119,19522,15401,45513,9457,156361
CED119,1269,814,3181,24756,35853,17549,11547,25568,4818,120095
CED120,1508,497,3108,26292,37647,18755,14693,30523,8200,136113
CED121,2368,564,4383,25315,37741,18791,14318,35339,9787,141295
CED122,1660,639,3791,33674,42438,16077,9524,42198,10624,154528
CED123,1114,533,2446,27179,37980,17139,14112,40365,10937,147710
CED124,2680,804,5529,21623,35469,19762,15194,31287,9236,132575
CED125,847,285,1764,27458,38164,17777,15926,48818,9476,157621
CED126,2234,664,4854,27810,39090,18229,10828,25721,5447,127120
CED127,1446,342,2981,22435,36147,18662,13422,22893,5291,118852
CED128,1618,478,3016,20952,26805,13057,12590,56219,10347,139961
CED129,1426,379,2888,29853,42385,21190,14890,34400,4807,147523
CED130,1935,693,4170,22700,33666,16625,12492,31534,12074,129088
CED131,2013,811,4195,30883,41733,16657,9648,32201,7889,139005
CED132,1672,673,3978,31866,45650,18114,10061,27413,6403,139516
CED133,2236,680,4765,24298,37961,19503,14375,31618,12211,139966
CED134,1891,673,3784,20914,29644,13728,11109,32387,15841,123625
CED135,1374,351,2750,25801,36889,17684,13961,57808,12682,164828
CED136,1669,537,3585,26109,38919,18437,13752,36552,7668,141438
CED137,1940,614,4033,32248,43493,18357,12545,54922,11082,172643
CED138,2918,929,5793,26913,39432,18885,12248,31071,11525,140075
CED139,2297,560,4472,24380,33835,16094,12203,32909,10693,130124
CED140,2079,990,4904,24073,36218,17769,12347,28112,7448,125967
CED141,1997,573,4300,23917,35304,17507,11648,30211,6170,124765
CED142,795,277,1726,43710,55734,14820,7094,52484,14621,188461
CED143,1501,441,3588,29763,40630,16370,9298,22899,4858,123828
CED144,2197,538,4030,23553,29611,14145,13134,56080,11873,148398
CED145,1349,1134,3903,31677,38604,13179,7242,25264,8280,124257
CED146,1133,614,2331,24625,30381,14901,14838,59017,10450,154210
CED147,2010,799,4497,25078,36899,18664,14154,35039,7387,137237
CED194,23,19,49,1561,1512,614,402,2643,3376,10112
CED197,0,0,0,0,0,0,0,0,0,0
CED201,1859,428,3540,28159,37006,16240,11053,34364,5168,131987
CED202,1665,592,3545,24227,35627,16656,11972,27927,7793,124204
CED203,1848,727,4060,23877,35543,17199,12366,27119,9011,125110
CED204,1834,342,3212,26865,32805,14478,11917,49981,9573,145620
CED205,918,172,1482,22060,27102,11945,12134,60638,9913,143794
CED206,1338,208,2699,26588,38894,18225,12441,26378,5632,128156
CED207,3110,630,6401,31630,40730,18964,12208,44520,7546,155599
CED208,1905,603,4071,28780,40863,14897,8992,31914,7162,132603
CED209,1915,586,3841,25026,37300,17814,11757,25428,6485,123811
CED210,1827,451,3776,25966,36375,16053,11207,33425,8647,131674
CED211,2128,880,4847,29340,40493,18181,11170,32209,5846,137248
CED212,1713,586,3550,26373,36548,15895,10646,31359,7516,128332
CED213,2515,929,5492,24267,35721,17751,11823,28463,8653,126669
CED214,1784,560,3419,26837,34539,13311,9807,52125,11601,148218
CED215,1362,205,2518,27408,39705,17310,12433,40193,9193,146246
CED216,1861,678,3939,21659,33360,17516,14153,30239,11490,128407
CED217,2314,535,4822,29804,39786,17288,9351,26182,5214,127627
CED218,1110,162,1848,24813,30363,13744,11962,49872,9920,140670
CED219,1093,175,1909,24235,32398,14628,12247,37087,7853,128449
CED220,1759,527,3870,33695,42742,14751,7993,28881,6642,134712
CED221,999,163,1644,25626,32620,14178,11913,49122,8145,141598
CED222,2694,443,4915,30508,36773,15863,11326,60138,9350,163955
CED223,2131,543,4247,23757,36686,17967,13034,28493,9867,129805
CED224,2203,350,4126,28281,37968,15677,9474,34181,5532,131118
CED225,1976,322,3870,28031,40500,18217,11068,27653,4829,130296
CED226,2402,433,4987,32832,42841,18461,10455,28078,5033,137707
CED227,1054,293,2079,26031,35132,15524,12008,34050,7094,129832
CED228,908,242,1603,25850,35062,16045,13806,51153,10446,152359
CED229,1329,499,2862,36612,47125,13837,7094,33647,10114,148433
CED230,2684,854,5466,23962,33969,17428,14343,36646,12569,138916
CED231,2101,297,3856,27921,37374,14957,9608,32910,6007,128786
CED232,933,195,1750,24743,34960,16862,12642,28356,6273,123834
CED233,1070,169,2004,45038,55326,14258,6681,48898,13631,183844
CED234,2904,509,5775,29763,38907,18703,12599,38875,5657,144504
CED235,1997,559,3987,21859,33211,17358,13426,26636,8793,121284
CED236,2261,673,4479,23398,32922,15914,12645,35058,11083,131014
CED237,1572,473,2925,24108,30055,13363,11588,50087,7747,136944
CED238,2224,674,4556,23872,34497,17574,13460,28991,10450,128845
CED239,2325,479,4486,29117,40161,14298,9084,34149,7022,133834
CED294,12,17,29,1148,1118,391,326,1694,3270,7946
CED297,0,0,0,0,3,0,0,8,27,38
CED301,1180,433,2551,27811,40125,17988,14125,37144,10825,148016
CED302,1593,409,3392,28737,39696,17285,10670,29356,5451,131198
CED303,1653,795,3799,27483,38760,18115,11631,28593,6263,130844
CED304,1133,242,2260,41363,50551,15714,8289,34877,9316,160098
CED305,1360,421,2798,23026,32807,14786,11701,30255,15604,128183
CED306,1473,459,2901,24912,34244,14693,11203,32566,14516,132129
CED307,1003,273,2050,27805,39458,17677,11667,25489,5090,127184
CED308,1964,444,3572,31799,42905,18534,12861,41907,10410,158410
CED309,2147,660,4424,27542,41272,19554,12857,29930,8512,139665
CED310,2242,589,4625,28725,41050,19505,13110,31544,8703,142641
CED311,928,367,2038,22523,32064,15121,13503,29375,13235,125829
CED312,1408,416,2600,29448,39867,17383,13097,40399,10781,150978
CED313,1312,310,2557,37648,48902,16065,8683,31256,8512,151062
CED314,2078,437,4011,25689,36070,15895,11795,31758,7732,128942
CED315,1138,278,2255,26266,36282,14389,9997,33469,11427,131831
CED316,2460,646,4750,22151,33366,17251,13699,35657,9361,131489
CED317,1509,581,3202,24943,33537,15951,13636,33119,16776,137954
CED318,1228,350,2404,28475,37771,15290,10688,34594,15285,142107
CED319,1964,615,4206,29133,41700,16494,9778,29662,6492,133264
CED320,1801,443,3434,28151,40071,19134,14829,37645,10684,150508
CED321,1649,567,3494,21855,30438,14845,13098,29739,12882,122859
CED322,1839,955,4200,28967,38089,16416,10324,32215,8703,134713
CED323,2078,737,4339,32933,40055,16090,10378,43987,13674,157117
CED324,1729,262,3157,29588,38802,16242,10521,36293,6868,138311
CED325,1238,179,2191,27659,38163,16240,11608,40309,11114,145088
CED326,2275,612,4380,30006,41962,18446,12654,37653,7875,148597
CED327,1206,281,2062,27106,34939,15418,12137,44527,10053,144189
CED328,1478,316,3151,31738,43217,18596,10553,24640,4705,133453
CED329,1921,535,3906,22553,33864,18221,14389,29093,10272,128391
CED330,1086,413,2372,26768,39281,19512,15176,32490,10132,143356
CED394,24,11,44,2216,2411,933,689,3525,3463,13234
CED397,0,0,0,6,6,3,0,34,135,183
CED401,2755,361,4903,36735,47772,18321,10830,46459,8302,168422
CED402,2353,561,4669,26714,38856,19669,14192,31738,11237,142401
CED403,3251,431,6231,32774,46328,20044,11157,32886,5339,148524
CED404,2184,537,4309,24413,36972,18803,14967,34107,12397,141658
CED405,2962,351,5499,30679,41926,17930,11325,38191,6033,146090
CED406,1902,368,3616,29094,41210,18052,11936,30792,5694,136777
CED407,1982,389,3825,29148,39568,17405,11927,38338,6275,142664
CED408,2037,441,4304,28890,45140,22885,15140,24694,7165,143917
CED409,1794,489,3428,27987,36684,16051,12893,45415,9006,148036
CED410,3313,482,6518,33801,46395,20741,12529,37814,5619,156898
CED494,4,0,11,491,536,178,137,868,763,2975
CED497,0,0,0,0,0,0,0,4,5,12
CED501,1144,424,2499,27408,36708,15631,13226,38040,10692,141699
CED502,1130,410,2379,26865,34548,14611,12741,43527,9131,141417
CED503,1645,575,3679,23568,33865,16086,14297,32727,9006,129549
CED504,1531,356,3231,29625,36473,15065,11734,45947,8566,147408
CED505,2240,641,5030,35568,43418,17687,10920,28453,7208,143257
CED506,962,390,2233,29117,39411,16823,14148,36356,24525,160379
CED507,1467,455,3312,24673,35706,17024,13377,27489,9232,127496
CED508,1459,493,3136,30411,39778,15402,11039,32049,7644,136332
CED509,1223,428,2780,28182,37877,16088,13038,33699,9695,138584
CED510,1512,262,2995,30436,40186,17959,11469,28204,5100,133353
CED511,1548,559,3606,26426,36963,17585,14739,31664,16228,143602
CED512,1082,270,2110,29434,37131,15072,11695,36929,7186,137448
CED513,2213,427,4281,36763,45880,15365,9854,38300,10186,156347
CED514,1849,810,4062,34581,42641,15590,11136,43854,11362,159166
CED515,2220,499,4734,33398,41962,19047,13711,35103,7185,150405
CED594,10,23,30,870,963,339,278,1476,3362,7285
CED597,0,0,0,33,21,10,15,214,222,516
CED601,1366,380,2770,17408,25182,11541,8286,23604,5513,91537
CED602,1463,326,2782,16218,24015,12042,9308,23675,5832,91094
CED603,1341,245,2691,20866,28227,11015,6400,23670,4850,95028
CED604,1273,303,2652,18869,28099,12993,8098,19285,4942,92283
CED605,1066,224,2097,16863,25111,12475,9766,23164,6354,93730
CED694,0,0,3,216,217,80,47,353,324,1248
CED697,0,0,0,0,0,0,0,13,8,19
CED701,258,61,475,20355,24234,10212,6673,20290,12520,94284
CED702,326,121,696,18400,24380,8842,5623,22322,8568,88143
CED794,4,0,7,480,399,152,120,687,1217,3052
CED797,0,0,0,9,14,6,4,47,25,94
CED801,1012,324,2617,27286,41065,16727,9369,23788,5404,123643
CED802,1377,318,3198,31095,42683,15088,6701,22065,7336,124971
CED803,612,110,1420,27471,39661,15453,8740,28143,5009,124469
CED894,0,0,4,123,123,39,17,138,126,560
CED897,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,6,3,0,0,0,8,11
CED997,0,0,0,0,0,0,0,0,0,0
