CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED306,15087,15748,5312,501,36658,9603,1578,47833,671,285,368,40,1365,2182,149,3702,370,182,268,12,834,967,126,1929,1046,460,640,53,2203,3149,279,5630,378,161,269,31,835,1182,118,2139,141,49,46,5,239,238,60,540,86,19,10,3,120,78,23,220,73,18,12,0,103,70,12,188,9,4,0,0,16,4,0,15,691,252,335,33,1311,1575,213,3104,164,28,11,0,200,243,13,456,107,21,3,4,137,194,10,338,14,3,3,0,24,15,0,40,21,10,5,0,30,15,6,49,302,57,22,11,389,460,33,882,116,34,13,0,167,200,24,394,17237,16557,6328,605,40727,14994,2125,57840
CED307,13881,20515,5193,431,40016,6265,1002,47288,530,182,312,41,1063,1559,77,2697,944,734,997,83,2752,1550,238,4539,1473,917,1303,122,3815,3111,314,7240,81,41,86,9,210,305,34,547,18,7,13,0,35,77,12,121,6,0,0,0,10,4,6,10,0,0,0,0,0,0,0,0,42,29,5,0,79,55,0,133,139,70,100,10,328,436,45,818,16,0,0,0,19,72,3,98,21,0,4,0,27,58,0,85,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,7,43,0,10,4,49,131,3,190,13,15,5,0,29,18,0,42,15547,21518,6607,568,44244,9962,1371,55577
CED308,12899,17948,5376,424,36650,5882,1465,43996,1791,1059,1216,95,4164,2781,344,7287,2737,1924,1736,129,6525,2374,578,9476,4530,2978,2950,232,10690,5151,921,16758,287,100,163,17,570,742,78,1388,864,258,297,43,1462,1371,203,3032,834,174,191,22,1217,803,82,2103,812,240,184,19,1256,670,124,2055,24,11,6,0,46,19,4,68,2821,783,842,99,4546,3600,486,8641,69,7,4,0,85,173,3,260,61,8,0,0,72,90,7,175,0,0,0,0,0,4,0,3,3,5,4,0,16,17,3,25,131,22,11,0,170,284,17,467,51,37,27,4,122,99,11,234,20444,21769,9208,758,52179,15014,2902,70091
CED309,14970,16601,4910,326,36813,7548,1555,45912,1267,309,416,19,2008,1908,143,4058,1523,693,791,58,3059,1754,334,5146,2786,999,1205,79,5072,3659,475,9204,643,296,446,34,1419,1723,185,3326,417,97,145,9,675,516,85,1278,792,190,210,21,1206,719,128,2058,401,49,46,9,502,318,41,858,70,38,14,0,117,96,0,219,2320,668,860,76,3923,3374,442,7739,106,19,22,0,148,181,10,341,15,5,18,0,46,78,0,128,3,3,0,0,6,4,5,12,7,0,0,0,11,5,0,16,131,31,41,0,204,274,18,499,69,28,16,0,115,79,5,200,20277,18336,7033,487,46130,14937,2490,63553
CED310,15433,16768,5395,395,37992,7744,1594,47325,1463,293,440,44,2242,2402,153,4800,748,402,414,31,1591,867,176,2635,2214,693,851,71,3832,3276,331,7434,435,186,276,18,915,1134,164,2215,473,138,189,24,826,734,136,1696,1234,263,323,43,1857,1389,246,3496,561,56,44,4,666,393,36,1097,40,11,12,0,63,63,5,130,2747,658,835,87,4329,3711,586,8627,79,9,11,0,88,148,9,246,76,19,17,0,112,129,9,251,4,4,5,0,7,14,0,24,11,4,5,0,26,16,3,40,162,40,30,0,234,305,18,558,49,31,7,0,87,65,9,164,20609,18188,7121,561,46475,15097,2528,64100
CED311,15759,15978,5693,477,37900,11292,1492,50686,237,170,154,19,579,715,63,1351,191,118,136,13,453,506,67,1033,428,289,284,32,1036,1221,133,2384,316,151,195,29,690,1181,98,1965,41,6,14,3,61,141,13,219,44,20,14,0,78,122,13,214,15,5,0,0,22,61,7,89,6,5,0,0,13,12,0,23,415,192,225,33,865,1512,134,2516,165,25,25,5,225,288,18,527,42,10,15,0,59,83,3,151,16,0,4,0,24,40,4,60,12,3,8,0,28,15,3,48,234,45,47,6,335,428,25,789,82,45,22,0,149,107,14,272,16917,16545,6276,549,40283,14557,1799,56639
CED312,14169,21101,7778,636,43671,8493,1671,53844,1004,490,579,51,2125,1648,170,3941,835,814,966,63,2677,1443,226,4349,1842,1298,1546,112,4798,3092,393,8288,222,158,238,20,640,860,77,1568,28,8,15,0,53,115,4,174,29,13,5,7,54,40,3,93,0,0,0,0,0,0,0,0,36,20,9,0,62,43,5,105,313,195,270,29,802,1060,90,1953,30,8,9,0,35,83,4,130,33,8,9,0,44,171,0,218,3,0,3,0,9,6,0,14,3,3,0,0,7,3,0,10,62,12,16,0,94,267,7,364,28,24,9,0,63,47,5,114,16411,22635,9623,776,49441,12959,2169,64566
CED313,7434,13247,2867,457,24003,4733,1994,30732,115,64,62,7,250,284,33,562,2033,1338,922,166,4455,2168,763,7379,2145,1406,987,171,4705,2453,789,7941,1261,511,473,114,2359,3358,601,6320,2348,817,597,194,3955,3935,857,8744,2486,846,420,136,3887,2921,901,7710,3219,955,527,141,4839,3817,1104,9760,12,4,4,0,23,17,3,44,9323,3132,2019,590,15063,14046,3466,32575,0,0,0,0,0,0,0,0,12,0,0,0,17,11,0,28,0,0,0,0,0,0,0,0,12,4,6,0,20,11,4,37,21,9,4,0,36,28,9,69,45,17,12,0,73,101,24,199,18970,17802,5883,1220,43874,21359,6287,71519
CED314,15332,15705,5845,512,37393,10217,1385,48994,1239,563,650,82,2531,3779,264,6582,322,173,221,24,740,867,106,1718,1567,729,868,110,3276,4650,376,8297,339,205,239,38,825,1274,110,2214,9,0,9,0,14,47,0,60,8,0,0,0,17,26,0,44,16,0,0,0,16,19,0,31,5,0,0,0,5,14,0,21,378,218,247,41,878,1377,114,2372,19,4,5,0,27,45,3,69,12,3,3,0,25,23,0,46,6,4,7,0,11,9,0,21,14,0,0,0,17,3,4,25,53,12,17,0,75,79,10,160,42,22,9,0,67,39,0,104,17357,16687,6984,666,41689,16355,1884,59929
CED315,13367,15544,6721,597,36228,9138,1955,47317,689,221,514,60,1479,2658,182,4326,502,253,386,67,1203,1641,185,3029,1189,474,902,126,2685,4298,368,7361,272,97,197,27,590,1022,94,1701,255,64,84,27,429,636,126,1191,315,94,61,14,487,453,78,1018,207,40,28,9,278,262,46,587,7,5,0,0,13,6,0,18,1061,302,362,71,1799,2379,344,4520,34,11,4,3,56,82,3,145,52,8,8,0,62,61,5,125,0,0,0,0,4,23,3,32,8,6,3,0,22,8,5,29,95,23,12,7,137,176,11,332,29,15,11,0,59,114,9,183,15744,16352,8018,804,40916,16109,2685,59711
CED316,19094,12580,6551,519,38749,11393,1730,51866,882,166,333,33,1415,2254,130,3807,333,117,208,18,682,923,91,1688,1212,282,543,58,2096,3175,224,5496,475,116,211,20,818,1509,83,2405,51,5,15,3,73,85,10,165,204,22,25,0,248,172,9,435,0,0,0,0,3,0,0,3,4,3,0,0,10,11,0,22,729,148,251,24,1148,1778,104,3034,255,23,19,3,309,460,32,799,56,14,12,3,79,148,6,238,16,9,6,0,23,5,0,31,26,8,9,0,35,21,7,60,350,50,47,6,446,640,41,1132,85,34,12,0,125,114,11,247,21470,13091,7401,606,42570,17101,2108,61775
CED317,16611,15049,6506,609,38781,12165,1610,52556,460,296,305,38,1099,1362,106,2568,106,76,64,8,247,333,26,606,564,371,370,44,1346,1692,134,3172,315,158,270,42,778,1219,92,2088,9,7,9,3,30,28,0,59,10,0,0,0,10,14,0,26,0,0,0,0,0,0,0,0,5,0,0,0,14,16,0,28,337,172,279,41,836,1273,96,2201,265,38,25,0,329,447,38,814,62,11,5,4,78,110,0,191,37,26,15,0,76,214,5,303,26,19,18,3,64,63,10,135,392,87,62,9,552,828,56,1434,156,122,26,0,302,206,19,527,18061,15798,7241,709,41816,16172,1909,59892
CED318,12694,14328,6032,592,33647,8474,1771,43888,660,425,558,59,1697,1994,164,3858,792,365,478,26,1660,1601,208,3476,1455,788,1038,78,3361,3596,369,7334,869,515,774,76,2241,2781,279,5294,814,335,332,41,1515,1470,253,3241,271,97,78,19,461,341,61,866,186,31,20,4,242,154,20,414,5,12,4,0,17,6,0,20,2136,988,1204,143,4471,4753,611,9840,100,19,15,0,131,169,4,312,42,15,22,3,76,149,10,239,22,3,8,0,40,80,3,124,53,28,20,0,101,65,10,169,216,65,62,4,346,466,34,848,144,60,37,7,252,285,24,564,16640,16235,8378,831,42080,17576,2814,62465
CED319,11466,16246,4662,650,33025,8020,1553,42595,403,131,167,16,714,1094,48,1857,1592,1134,883,120,3733,2450,454,6636,1992,1264,1053,136,4441,3547,505,8495,804,399,404,87,1698,2542,304,4539,878,310,335,93,1628,1944,322,3889,655,189,123,42,1005,975,223,2208,481,105,95,31,709,794,128,1632,17,4,10,0,28,18,5,55,2833,1011,970,252,5063,6276,978,12317,0,0,0,0,0,0,0,0,6,0,0,0,11,102,5,113,0,3,0,0,3,3,0,3,10,3,7,0,21,15,5,35,16,4,4,0,28,123,5,156,12,7,8,0,32,41,0,74,16323,18545,6692,1033,42592,18006,3050,63639
CED320,17710,18644,7573,528,44461,9330,1657,55452,1102,388,795,50,2340,2413,203,4953,747,316,725,57,1847,1431,193,3468,1850,703,1519,112,4185,3839,399,8424,166,33,75,4,286,411,33,730,48,8,22,0,78,188,12,276,68,11,14,0,98,87,4,185,0,0,0,0,0,0,0,0,76,29,16,4,123,89,3,214,357,77,136,12,580,771,53,1405,97,9,6,0,113,215,7,334,71,9,20,0,102,266,10,377,6,3,0,0,3,0,0,10,10,5,5,0,21,9,0,36,181,26,32,4,242,493,18,754,30,18,16,0,62,49,0,115,20130,19469,9275,661,49534,14489,2132,66152
CED321,16721,13550,5621,557,36449,13620,1468,51536,419,156,221,24,823,1683,81,2589,56,39,30,4,121,114,27,264,473,195,250,24,948,1797,108,2853,120,45,70,3,253,692,46,993,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,5,124,52,70,3,254,700,46,1003,139,33,19,0,191,214,14,420,21,9,0,0,40,64,5,111,18,11,3,0,37,41,3,74,32,22,6,3,61,42,3,107,215,82,31,8,326,360,25,712,122,68,20,6,212,146,8,371,17659,13946,5994,599,38194,16626,1657,56476
CED322,9170,14227,3730,320,27458,4844,1126,33422,879,575,529,31,2018,1434,177,3630,2687,2549,2064,127,7430,2682,745,10859,3568,3127,2593,160,9448,4121,923,14491,517,194,245,36,988,1310,221,2522,1287,452,448,51,2242,1802,464,4506,902,273,227,33,1432,935,221,2586,964,217,179,20,1379,1023,135,2540,27,16,11,0,54,39,3,89,3687,1147,1118,140,6098,5109,1040,12240,21,5,5,0,26,31,0,56,13,4,4,0,20,22,0,42,0,4,0,0,3,0,0,5,10,6,6,0,13,6,0,26,42,12,6,0,57,63,6,130,26,8,5,0,43,67,8,111,16494,18517,7457,621,43097,14199,3105,60399
CED323,8168,11243,3630,316,23362,4615,1447,29432,925,559,529,45,2067,1836,252,4156,2569,1702,1378,153,5794,2678,808,9278,3490,2264,1906,199,7861,4512,1058,13433,1054,464,568,64,2156,2105,519,4793,1767,578,625,109,3083,3114,835,7025,1684,403,435,105,2633,2104,596,5329,4283,938,707,103,6030,4646,776,11446,10,5,5,0,24,18,4,50,8799,2394,2343,388,13926,11985,2726,28644,43,7,29,4,91,296,15,395,27,0,8,5,34,122,3,158,0,0,0,0,0,0,0,0,17,15,11,0,41,20,4,64,96,20,40,6,166,430,19,623,83,23,32,0,142,165,19,333,20641,15951,7961,907,45456,21715,5281,72459
CED324,10977,17266,4690,696,33626,7146,2443,43216,224,235,88,14,562,567,58,1176,1795,1893,922,188,4793,1937,820,7551,2017,2128,1006,205,5353,2501,872,8735,674,302,269,81,1322,1913,310,3545,565,211,179,49,1000,1138,246,2378,391,90,60,24,566,494,92,1145,111,13,5,4,132,48,4,188,14,18,6,0,36,30,11,78,1748,630,517,154,3056,3624,664,7336,0,0,0,0,4,19,3,26,0,4,0,0,5,40,3,52,0,0,0,0,0,0,0,0,0,9,0,0,10,17,8,32,10,12,3,0,20,85,14,114,19,13,6,0,39,59,13,103,14763,20053,6224,1055,42094,13408,3996,59499
CED325,12202,21992,7515,656,42364,8127,1463,51962,324,218,255,23,822,1094,65,1980,1274,1243,1061,130,3709,1560,356,5626,1602,1457,1314,159,4535,2655,417,7607,44,15,32,7,99,294,15,406,34,16,19,0,76,124,8,205,32,0,0,0,32,21,0,51,0,0,0,0,0,0,0,0,16,18,12,3,59,34,0,93,128,54,67,10,260,470,24,754,6,5,7,0,16,109,6,132,3,3,6,0,11,35,0,51,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,8,13,4,11,0,34,145,10,192,17,18,12,0,41,34,8,83,13960,23520,8924,832,47242,11432,1923,60592
CED326,14220,19733,6959,552,41456,9343,1424,52226,862,174,375,43,1458,2130,87,3674,1356,1248,1374,110,4084,2017,354,6455,2215,1423,1753,154,5540,4152,439,10129,415,142,310,25,896,1719,92,2700,212,36,94,3,354,512,29,887,551,63,102,8,730,761,41,1532,475,61,56,5,599,275,21,890,17,9,7,3,33,37,0,70,1676,317,567,45,2610,3299,184,6090,33,4,0,0,44,130,0,178,40,19,19,0,81,202,13,300,0,0,0,0,0,0,0,0,7,5,0,0,12,9,0,21,79,21,27,0,134,346,16,498,22,11,13,0,41,46,3,95,18213,21507,9319,750,49788,17181,2071,69039
CED327,11237,20207,7761,636,39850,7115,1561,48521,348,294,336,26,1011,993,90,2100,1354,1887,1552,173,4963,2494,384,7839,1698,2183,1890,198,5973,3484,476,9935,102,104,109,19,334,408,36,775,36,12,12,0,66,156,9,229,13,5,3,0,16,11,0,30,18,5,3,0,25,35,0,68,19,10,10,0,33,18,0,51,179,135,135,24,478,627,49,1154,8,0,5,0,12,54,0,71,5,0,4,0,7,30,0,41,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,7,16,8,11,0,26,87,3,115,4,15,20,0,38,38,0,82,13144,22543,9814,861,46362,11353,2093,59807
CED328,10761,18591,3864,395,33605,5509,1476,40589,160,35,44,7,245,414,13,678,635,562,344,45,1586,741,196,2527,796,594,383,55,1836,1159,215,3211,655,428,307,86,1474,1609,378,3454,1410,631,379,160,2576,2133,865,5575,879,455,270,105,1719,1114,526,3357,665,227,138,48,1083,798,252,2138,12,8,0,0,27,23,3,53,3628,1747,1095,406,6882,5673,2030,14580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,6,0,9,0,0,0,0,4,6,3,14,29,25,7,0,64,70,20,152,15215,20960,5362,856,42387,12408,3739,58538
CED329,18292,13112,5950,406,37759,11508,1681,50948,454,79,180,10,723,1397,50,2173,634,194,216,14,1052,908,123,2086,1087,273,395,22,1776,2307,176,4259,338,110,197,18,665,1148,78,1890,156,30,39,3,233,177,29,439,105,18,13,0,131,39,0,175,0,0,0,0,0,0,0,0,26,15,6,0,46,19,7,69,626,168,254,27,1074,1385,110,2571,85,9,9,0,103,176,5,290,40,3,4,0,50,102,9,163,48,26,3,0,82,57,3,133,6,3,3,0,17,18,0,34,186,43,25,0,256,347,16,624,78,24,20,0,129,148,11,288,20265,13621,6649,459,40997,15700,1993,58689
CED330,16722,22020,6624,449,45822,8342,1589,55753,318,156,210,28,710,837,62,1607,133,106,138,17,390,225,29,640,447,266,346,38,1093,1062,92,2246,43,49,30,4,121,87,11,220,0,0,0,0,0,10,0,9,0,0,0,0,7,3,0,7,0,0,0,0,3,0,0,3,47,38,12,0,98,70,0,168,93,89,44,4,228,165,18,410,47,4,6,0,61,102,0,163,19,5,9,0,31,46,3,76,10,18,4,0,31,15,0,45,21,15,13,4,55,16,4,71,100,42,28,4,173,174,10,356,38,24,10,0,76,90,5,168,17398,22448,7054,496,47391,9833,1708,58938
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED401,10829,15493,4766,703,31795,9487,2514,43800,2543,1857,1214,204,5816,5358,779,11948,1985,1230,666,154,4037,2324,788,7154,4531,3086,1884,358,9859,7680,1568,19099,1545,943,405,138,3028,3301,501,6830,452,118,72,43,693,1015,173,1880,897,200,144,71,1306,1627,371,3306,857,167,105,63,1194,1493,484,3164,20,16,11,0,46,29,6,77,3773,1448,741,306,6267,7458,1537,15257,3,3,4,0,15,6,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,19,8,93,58,18,171,43,36,18,3,106,67,22,191,46,50,19,7,123,164,37,325,19229,20110,7421,1383,48145,24861,5677,78685
CED402,20078,16254,6074,487,42889,15865,1351,60104,815,326,541,40,1717,2816,151,4678,30,15,7,0,54,55,8,109,839,338,547,42,1770,2869,154,4787,167,68,81,18,336,1034,49,1415,0,0,0,0,0,0,0,0,7,0,0,0,7,11,0,18,0,0,0,0,4,0,0,3,0,0,0,0,4,4,0,10,172,71,85,19,353,1046,49,1442,55,12,4,0,67,124,5,195,67,6,15,4,89,116,9,218,5,5,3,0,15,11,0,31,34,31,3,0,76,33,5,116,167,62,30,4,260,286,16,560,71,45,7,0,128,107,3,235,21332,16765,6746,558,45395,20165,1575,67134
CED403,13396,16675,4597,495,35167,9682,1706,46556,2936,1655,1213,162,5966,5934,509,12416,891,715,445,53,2109,1131,238,3481,3829,2378,1654,219,8077,7069,747,15898,1278,532,487,97,2384,3838,324,6548,214,44,54,11,324,431,45,799,239,43,26,8,316,295,23,632,99,16,8,0,127,164,5,292,6,6,4,0,18,11,0,29,1844,643,568,113,3167,4735,397,8302,14,3,0,0,23,8,0,28,4,0,0,0,6,8,0,12,0,0,0,0,0,0,0,3,21,19,7,0,50,49,7,105,38,21,9,4,76,62,9,147,35,19,14,0,70,82,7,166,19137,19738,6851,830,46554,21628,2877,71061
CED404,19274,14630,5717,530,40147,16515,1359,58016,1149,726,1027,84,2978,3593,210,6788,92,36,18,4,154,67,8,224,1240,764,1044,89,3131,3662,216,7009,153,43,84,16,294,1081,43,1418,8,0,0,0,10,29,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,30,17,0,46,182,54,81,16,335,1125,48,1506,102,21,10,0,134,197,39,363,36,13,7,0,54,59,14,130,7,10,5,0,21,15,0,41,26,20,9,0,58,56,4,118,175,67,30,0,270,324,58,647,87,31,23,0,141,157,12,311,20960,15542,6888,633,44022,21781,1692,67491
CED405,13379,15993,5596,610,35579,10765,1432,47774,2028,1333,1105,168,4632,4889,365,9879,1429,1098,597,66,3187,1556,247,4992,3457,2430,1701,226,7817,6443,617,14874,944,481,419,68,1907,3132,256,5293,159,69,53,12,298,429,37,765,213,79,60,13,362,447,48,862,56,6,6,0,69,36,6,106,18,12,3,0,36,19,3,63,1384,652,542,97,2673,4060,350,7083,9,5,0,0,12,13,0,23,0,0,0,0,0,31,0,36,0,0,0,0,0,0,0,0,14,16,7,0,40,28,8,82,27,21,10,0,55,70,8,138,36,29,24,0,86,74,8,166,18281,19122,7872,939,46212,21417,2408,70040
CED406,16526,18843,7918,561,43841,12434,1357,57625,856,230,460,35,1581,2805,113,4499,214,153,161,16,538,367,44,946,1070,378,620,49,2114,3165,162,5444,185,57,102,11,358,614,44,1019,8,0,5,0,12,35,6,48,13,4,0,0,19,26,0,46,0,0,0,0,0,0,0,0,9,6,4,0,23,13,0,37,223,67,115,11,412,690,46,1151,20,0,0,0,22,72,0,93,24,4,6,0,42,109,3,152,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,50,6,7,0,69,181,6,251,9,14,8,0,38,28,4,68,17873,19313,8670,619,46466,16495,1577,64539
CED407,15317,20187,7258,611,43373,11346,1355,56072,1094,379,409,41,1924,2621,106,4646,309,294,260,32,905,492,121,1527,1404,678,671,77,2827,3119,227,6169,297,108,143,14,557,978,43,1582,78,43,24,9,152,162,51,363,77,43,18,6,145,151,24,321,0,0,0,0,0,0,0,0,10,3,4,0,14,10,0,31,465,190,184,26,867,1306,119,2296,3,4,0,0,8,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,9,0,15,8,3,0,0,17,11,0,26,16,16,9,4,37,51,10,93,17205,21073,8123,714,47120,15826,1707,64660
